"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"","
"Afghanistan,""AFG"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""17180000"",""34670000"",""16930000"",""36670000"",""46170000"",""53930000"",""50360000"",""40600000"",""29240000"",""27250000"",""27610000"",""44440000"",""55180000"",""55950000"",""49180000"",""69450000"",""71430000"",""85610000"",""82520000"",""105470000"",""33010000"",""23910000"",""9330000"",""13280000"",""6500000"",""16320000"",""1910000"",""45280000"",""72360000"",""148320000"",""121720000"",""507530000"",""204900000"",""223800000"",""226420000"",""212530000"",""169630000"",""230750000"",""164200000"",""142860000"",""136010000"",""410360000"",""1309770000"",""1593670000"",""2310640000"",""2837950000"",""2962000000"",""5076880000"",""4874840000"",""6234870000"",""6470360000"",""6865790000"",""6666770000"",""5152540000"",""4942970000"",""4237290000"",""4064330000"","""","
"Albania,""ALB"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5560000"",""10340000"",""11050000"",""331950000"",""409640000"",""270680000"",""163100000"",""180600000"",""226640000"",""168230000"",""268740000"",""488180000"",""317850000"",""268530000"",""307360000"",""349310000"",""300940000"",""315080000"",""324040000"",""308630000"",""364840000"",""357150000"",""365070000"",""379480000"",""349160000"",""269980000"",""281170000"",""333580000"",""168530000"","""","
"Algeria,""DZA"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""355050000"",""437910000"",""397630000"",""281910000"",""227840000"",""146230000"",""126920000"",""107640000"",""119610000"",""131230000"",""122210000"",""120990000"",""110300000"",""125090000"",""128330000"",""235270000"",""145370000"",""129150000"",""190290000"",""110840000"",""205160000"",""167070000"",""134700000"",""93280000"",""120980000"",""172150000"",""167330000"",""213450000"",""171980000"",""158210000"",""331650000"",""211170000"",""374790000"",""326310000"",""295490000"",""295740000"",""306880000"",""247890000"",""419870000"",""137980000"",""199960000"",""198860000"",""186120000"",""239240000"",""316970000"",""347380000"",""240680000"",""395010000"",""324830000"",""302390000"",""201250000"",""193350000"",""147320000"",""203420000"",""160620000"",""87490000"",""157410000"","""","
"Angola,""AGO"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""-50000"",""23550000"","""",""30000"","""",""1110000"",""2860000"",""18180000"",""10000"",""-110000"",""-30000"",""0"",""90000"",""160000"",""370000"",""4760000"",""17480000"",""47500000"",""46870000"",""47060000"",""52440000"",""60220000"",""59070000"",""73880000"",""93410000"",""90490000"",""130250000"",""134430000"",""157030000"",""167060000"",""265770000"",""277080000"",""343590000"",""289390000"",""447070000"",""416420000"",""459310000"",""354660000"",""335270000"",""387540000"",""302210000"",""282730000"",""414030000"",""493500000"",""1144570000"",""414680000"",""163520000"",""259980000"",""369040000"",""238940000"",""235170000"",""192940000"",""243610000"",""285540000"",""235390000"",""380060000"",""206780000"","""","
"Argentina,""ARG"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""28580000"",""29180000"",""39800000"",""37800000"",""17220000"",""-62200000"",""-9690000"",""21690000"",""40720000"",""25480000"",""9340000"",""27710000"",""23320000"",""45660000"",""35920000"",""26310000"",""30570000"",""27920000"",""28160000"",""42980000"",""19480000"",""43560000"",""29740000"",""47000000"",""48490000"",""39020000"",""85860000"",""99330000"",""152600000"",""210700000"",""168740000"",""273680000"",""264440000"",""226800000"",""146780000"",""143120000"",""131540000"",""102330000"",""85540000"",""84900000"",""60370000"",""153240000"",""88190000"",""107710000"",""92080000"",""94120000"",""110430000"",""85810000"",""120000000"",""113670000"",""128530000"",""95180000"",""177760000"",""34730000"",""48790000"",""-18870000"",""2600000"","""","
"Australia,""AUS"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Austria,""AUT"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bahamas, The,""BHS"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""-40000"","""","""",""20000"",""60000"",""70000"",""50000"",""690000"",""50000"",""70000"",""80000"",""250000"",""1220000"",""480000"",""520000"",""660000"",""590000"",""470000"",""1170000"",""1230000"",""2010000"",""1940000"",""1870000"",""890000"",""10700000"",""700000"",""5600000"",""670000"",""4240000"",""3920000"",""3150000"",""2760000"",""2700000"",""1030000"",""870000"",""4260000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Bangladesh,""BGD"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""","""","""","""","""","""",""15360000"",""223760000"",""421470000"",""531390000"",""1071620000"",""497890000"",""784360000"",""995010000"",""1162660000"",""1286720000"",""1099040000"",""1337400000"",""1042430000"",""1186820000"",""1126530000"",""1428050000"",""1792600000"",""1614360000"",""1799490000"",""2092760000"",""1880240000"",""1818390000"",""1383260000"",""1742890000"",""1281740000"",""1228070000"",""1012360000"",""1162860000"",""1219490000"",""1174330000"",""1045000000"",""900550000"",""1397870000"",""1416830000"",""1320430000"",""1222890000"",""1512900000"",""2070900000"",""1237380000"",""1404600000"",""1494680000"",""2154050000"",""2633590000"",""2422640000"",""2570130000"",""2503590000"","""","
"Barbados,""BRB"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""",""1600000"",""590000"",""850000"",""1300000"",""2320000"",""4570000"",""4730000"",""4740000"",""3860000"",""5270000"",""7550000"",""5820000"",""11320000"",""10980000"",""13860000"",""17110000"",""12660000"",""18600000"",""8150000"",""7290000"",""3680000"",""6140000"",""2900000"",""2010000"",""2630000"",""2120000"",""30000"",""3600000"",""1020000"",""-1160000"",""4230000"",""4320000"",""15660000"",""-2130000"",""240000"",""-1150000"",""3310000"",""19780000"",""28810000"",""-2100000"",""-2290000"",""17510000"",""7120000"",""10860000"",""16200000"","""","""","""","""","""","""","""","
