"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"","
"Afghanistan,""AFG"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""43.5"",""44.12"",""47.17"",""48.71"",""51.58"",""57.14"",""60.44"",""65"",""65.35"",""59.65"",""57.77"",""53.2"",""58.5"",""61.05"",""63.44"",""69.13"",""68.64"",""69.44"",""70"",""71.04"",""73.07"",""73.52"",""72.1"",""68.29"",""61.34"",""52.03"",""55.57"",""58.11"",""60.39"",""70.89"",""72.27"",""72.33"",""77.15"",""84.94"",""91.68"",""100.81"",""110.2"",""117.98"",""123.67"",""104.58"",""83.41"",""103.68"",""97.76"",""104.98"",""103.36"",""91.66"",""95.11"",""99.19"",""102.25"",""105.79"",""108.26"",""109.44"",""104.13"",""105.02"","""","""","""","
"Albania,""ALB"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""24.08"",""24.44"",""24.45"",""24.09"",""24.98"",""25.85"",""29.09"",""27.47"",""28.05"",""29.02"",""30.93"",""30.45"",""32.01"",""32.89"",""33.15"",""35.27"",""36.3"",""40.06"",""41.56"",""42.7"",""44.75"",""44.94"",""45.44"",""44.17"",""43.38"",""43.18"",""45.9"",""50.02"",""52.68"",""57.96"",""56.4"",""63.03"",""67.34"",""79.36"",""89.36"",""93.67"",""82.58"",""80.99"",""84.59"",""89.31"",""91.37"",""94.08"",""97.98"",""101.23"",""98.52"",""100.25"",""103.57"",""97.48"",""98.99"",""101.01"",""104.66"",""108.26"",""110.78"",""109.98"","""","""","""","
"Algeria,""DZA"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""16.4"",""15.28"",""14.05"",""16.04"",""17.72"",""18.8"",""20.06"",""22.38"",""23.3"",""23.36"",""25.42"",""26.69"",""27.74"",""29.41"",""30.43"",""31.91"",""33.21"",""33.54"",""35.08"",""37.33"",""38.65"",""43.91"",""46.84"",""48.76"",""51.41"",""51.75"",""57.3"",""61.2"",""64.43"",""69.53"",""69.3"",""72.92"",""75.43"",""77.1"",""79.83"",""80.67"",""79.31"",""83.97"",""83.88"",""89.75"",""88.9"",""90.95"",""92.7"",""96.61"",""99.26"",""104.13"",""105.51"",""104.57"",""112.42"",""121.74"",""129.44"",""150.73"",""159.69"",""159.87"","""","""","""","
"Angola,""AGO"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""37.38"",""38.4"",""39.28"",""41.63"",""43.28"",""44.36"",""45.38"",""45.23"",""47.19"",""50.37"",""51.18"",""50.61"",""52.28"",""53.11"",""57.81"",""53.11"",""54.11"",""55.92"",""57.42"",""58.48"",""59.63"",""62.13"",""63.07"",""64.03"",""65.72"",""67.6"",""67.59"",""68.08"",""68.6"",""70.61"",""71.05"",""75.49"",""77.02"",""75.77"",""71.67"",""83.09"",""87.82"",""93.21"",""93.7"",""99.86"",""101.54"",""103.87"",""104.27"",""93.22"",""102.46"",""104.32"",""109.9"",""114.8"",""116.96"",""122.62"",""127.18"",""131.41"",""138.01"",""128.7"","""","""","""","
"Argentina,""ARG"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""61.61"",""65.86"",""71.05"",""59.93"",""60.28"",""68.07"",""71.73"",""72.62"",""78.91"",""73.13"",""62.56"",""66.8"",""65.23"",""65.77"",""71.95"",""79.53"",""80.46"",""86"",""83.45"",""79.89"",""81.81"",""74.51"",""72.53"",""74.67"",""80.29"",""83.27"",""77.41"",""74.76"",""76.81"",""83.67"",""82.46"",""81.17"",""85.67"",""89.5"",""89.93"",""88.58"",""89.66"",""86.66"",""94.94"",""93.91"",""87.25"",""82.98"",""85.38"",""93.69"",""102.39"",""103.92"",""106.65"",""107.64"",""113.74"",""100.71"",""101.38"",""101.52"",""108.66"",""101.5"","""","""","""","
"Australia,""AUS"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""51.5"",""56.51"",""59.19"",""61.5"",""62.53"",""60.9"",""60.81"",""61.89"",""64.44"",""69.75"",""71.18"",""75.88"",""74.52"",""66.57"",""72.64"",""78.74"",""79.72"",""82.69"",""80.08"",""73.29"",""71.66"",""72.71"",""73.49"",""69.44"",""71.65"",""75.33"",""79.78"",""81.34"",""79.9"",""86.43"",""88.16"",""87.79"",""89.94"",""92.22"",""91.75"",""92.82"",""97.47"",""99.28"",""103.69"",""104.21"",""106.89"",""105.65"",""100.99"",""97.31"",""101.47"",""101.22"",""104.37"",""101.22"",""100.66"",""97.97"",""98.16"",""99.98"",""106.08"",""101.87"","""","""","""","
"Austria,""AUT"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""66"",""69"",""70.16"",""70.22"",""69.99"",""68.93"",""73.76"",""75.61"",""75.59"",""75.81"",""76.91"",""75.99"",""76.96"",""80.27"",""81.45"",""83.48"",""83.98"",""84.89"",""88.74"",""89.24"",""89.46"",""90.83"",""91.83"",""94.5"",""93.4"",""94.72"",""94.32"",""94.35"",""92.89"",""94.02"",""95.75"",""99.25"",""97.09"",""104.75"",""99.72"",""103.09"",""103.78"",""105.67"",""105.97"",""102.35"",""104.81"",""104.33"",""98.75"",""98.23"",""100.69"",""101.08"",""104.21"",""105.29"",""106.53"",""108.86"",""105.53"",""105.57"",""106.58"",""106.04"","""","""","""","
"Bahamas, The,""BHS"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""29"",""29.84"",""31.65"",""34"",""37.78"",""41.7"",""42.32"",""42.95"",""35.57"",""32.68"",""34.7"",""33.49"",""73.68"",""80.57"",""75.48"",""85.69"",""56.21"",""46.35"",""37.65"",""37.08"",""53.36"",""47.77"",""46.36"",""48.95"",""52.44"",""50.19"",""58.54"",""59.43"",""64.86"",""64.63"",""54.07"",""60.35"",""59.12"",""51.19"",""88.36"",""117.99"",""97.19"",""146.76"",""144.68"",""80.88"",""83.94"",""84.66"",""98.45"",""99.24"",""100.09"",""100.67"",""101.75"",""104.13"",""108.9"",""111.15"",""112.76"",""115.88"",""117.8"",""116.55"","""","""","""","
"Bangladesh,""BGD"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""32.29"",""33.78"",""34.98"",""36.42"",""37.28"",""37.79"",""38.89"",""40.02"",""41.42"",""42.74"",""42.68"",""42.78"",""42.33"",""43.22"",""44.14"",""46.24"",""46.84"",""54.07"",""55.97"",""40.73"",""41.72"",""43"",""44.27"",""44.28"",""48.08"",""49.75"",""51.21"",""53.35"",""54.15"",""57.27"",""58.64"",""60.97"",""64.09"",""67.87"",""71"",""74.86"",""79.41"",""78.55"",""80.54"",""82.51"",""84.26"",""88.45"",""92.33"",""95.28"",""100.92"",""103.8"",""107.28"",""111.51"",""112.67"",""119.25"",""123.23"",""127.51"",""130.44"",""132.71"","""","""","""","
"Barbados,""BRB"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""24.02"",""23.84"",""25.56"",""26.54"",""25.89"",""26.77"",""27.23"",""28.3"",""32.24"",""35.19"",""39.65"",""42.35"",""46.8"",""51.9"",""51.99"",""55.3"",""59.3"",""68"",""69.27"",""72.78"",""76.1"",""79.08"",""72.96"",""74.28"",""71.5"",""76.1"",""82.97"",""85.41"",""98.57"",""97.96"",""95.79"",""83.7"",""80.65"",""84.91"",""89.85"",""96.2"",""89.19"",""88.39"",""92.3"",""85.42"",""87.61"",""83.16"",""90.66"",""97.18"",""103.33"",""99.49"",""104.71"",""101.92"",""103.18"",""102.21"",""103.03"",""107.71"",""107.7"",""104.92"","""","""","""","
