Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Congo, Democratic Republic of,Congo DR,1961,Earths,0.00932160189786419,0.0220663193495882,0.0848293945935039,0.00885510504706306,0.168339344493489,0.0128823686328071,0.306294134014316,3A,CD
Congo, Democratic Republic of,Congo DR,1962,Earths,0.00958061266354396,0.0207482000981768,0.0861936331292371,0.00870209013900048,0.169886596189492,0.0107887896864518,0.305899921905902,3A,CD
Congo, Democratic Republic of,Congo DR,1963,Earths,0.00967975488877631,0.0220024648050228,0.0903360374589753,0.00874563842588209,0.173782630318577,0.0131378623266957,0.31768438822393,3A,CD
Congo, Democratic Republic of,Congo DR,1964,Earths,0.00970287209997032,0.0205047970052292,0.0865364976134481,0.00842336507760648,0.17632537081812,0.0113465183069635,0.312839420921338,3A,CD
Congo, Democratic Republic of,Congo DR,1965,Earths,0.00981405857236008,0.0276570306982036,0.0906262254448601,0.00888121797337828,0.180587270313085,0.011445683254304,0.329011486256191,3A,CD
Congo, Democratic Republic of,Congo DR,1966,Earths,0.0107672532371225,0.0269416463736477,0.0971021965716523,0.00891660377267028,0.182937774518867,0.0137656532392716,0.340431127713232,3A,CD
Congo, Democratic Republic of,Congo DR,1967,Earths,0.0113636758466402,0.0257070921832394,0.0965654734564692,0.00925843027086024,0.186527813179362,0.0124161900973662,0.341838675033937,3A,CD
Congo, Democratic Republic of,Congo DR,1968,Earths,0.012513095250775,0.0328353214022574,0.101405439812258,0.0125393276359816,0.190043849573483,0.0112988461936696,0.360635879868424,3A,CD
Congo, Democratic Republic of,Congo DR,1969,Earths,0.0130041381628603,0.0349127793129426,0.102998961376635,0.0124516438711564,0.193598934866128,0.0120779536912737,0.369044411280996,3A,CD
Congo, Democratic Republic of,Congo DR,1970,Earths,0.013722975283366,0.0306027486363639,0.1075237584955,0.0120261722537452,0.196965115616868,0.01407160944531,0.374912379731151,3A,CD
Congo, Democratic Republic of,Congo DR,1971,Earths,0.0141984235381513,0.0301540633012538,0.111170123534977,0.0106002082351578,0.198480001179013,0.0154868256061095,0.380089645394661,3A,CD
Congo, Democratic Republic of,Congo DR,1972,Earths,0.0143838030295607,0.0295036815767052,0.112129635623435,0.0114609864977509,0.20340076766796,0.0158417421355898,0.386720616531001,3A,CD
Congo, Democratic Republic of,Congo DR,1973,Earths,0.0151773699513736,0.0295465227591264,0.114884877454775,0.0128206681239176,0.202674666586876,0.0117196419283345,0.386823746804405,3A,CD
Congo, Democratic Republic of,Congo DR,1974,Earths,0.0146770258405153,0.0324172692737622,0.111097630195323,0.0124967954235024,0.206839172289123,0.0134341902763414,0.390962083298567,3A,CD
Congo, Democratic Republic of,Congo DR,1975,Earths,0.0148595248521898,0.0286748045553207,0.109787989920275,0.0118134603859941,0.209136912162663,0.0128425623909887,0.387115254267431,3A,CD
Congo, Democratic Republic of,Congo DR,1976,Earths,0.015883347526887,0.0295569808339368,0.113148951428972,0.0102386580848782,0.213103413361716,0.0131428683910205,0.395074219627411,3A,CD
Congo, Democratic Republic of,Congo DR,1977,Earths,0.0157216919173888,0.0286169760929867,0.111162398533539,0.0068476305734253,0.217378584384278,0.0106897045423898,0.390416986044008,3A,CD
Congo, Democratic Republic of,Congo DR,1978,Earths,0.0157238809341802,0.0275848127607226,0.105816878398181,0.00589474039968082,0.221069704810611,0.0122591026864798,0.388349119989856,3A,CD
Congo, Democratic Republic of,Congo DR,1979,Earths,0.0166384907890722,0.0324673928066858,0.110725554268428,0.00620678728807087,0.225930851999003,0.0102083427896782,0.402177419940938,3A,CD
Congo, Democratic Republic of,Congo DR,1980,Earths,0.0173384532156122,0.0348482651569699,0.111728468228872,0.00713185064613877,0.229582978491996,0.00987756249330049,0.410507578232889,3A,CD
Congo, Democratic Republic of,Congo DR,1981,Earths,0.0173401230208455,0.0373544188724901,0.112843319491008,0.00905283112017806,0.231730227801123,0.0103438488396151,0.418664769145259,3A,CD
Congo, Democratic Republic of,Congo DR,1982,Earths,0.0196743341233479,0.0338673437821763,0.121796662494706,0.007322245358953,0.236741816580088,0.0100348679979811,0.429437270337253,3A,CD
Congo, Democratic Republic of,Congo DR,1983,Earths,0.0203177224863319,0.0415296293878736,0.124639136859447,0.00921059636076051,0.24410565390851,0.00998147849937827,0.4497842175023,3A,CD
Congo, Democratic Republic of,Congo DR,1984,Earths,0.0215373101120726,0.0429643275478696,0.129131839618777,0.00940801379771433,0.243408995157502,0.0125346611723033,0.458985147406237,3A,CD
Congo, Democratic Republic of,Congo DR,1985,Earths,0.0223190581397483,0.0435511688167465,0.13478163118064,0.0139283300516135,0.247176645944526,0.0149873841129145,0.476744218246188,3A,CD
Congo, Democratic Republic of,Congo DR,1986,Earths,0.0236083995916262,0.0330330787164622,0.136138180257519,0.0142264679684674,0.248451624293275,0.016433091140185,0.471890841967534,3A,CD
Congo, Democratic Republic of,Congo DR,1987,Earths,0.0246150168354982,0.0294581397064838,0.141399982667448,0.0121513781638433,0.252531499048055,0.0132164968459859,0.473372513267312,3A,CD
Congo, Democratic Republic of,Congo DR,1988,Earths,0.0247792292116894,0.0279746287024355,0.136982292098816,0.0117664079585601,0.260268882133201,0.0120651120796547,0.473836552184357,3A,CD
Congo, Democratic Republic of,Congo DR,1989,Earths,0.0263741050496579,0.0276563510896745,0.137436248564336,0.0116737961875696,0.261453282842071,0.0120608426119791,0.476654626345287,3A,CD
Congo, Democratic Republic of,Congo DR,1990,Earths,0.0286804808835729,0.0262974928203369,0.145121660010431,0.0105910835909064,0.26340930597445,0.0129751221069621,0.487075145386661,3A,CD
Congo, Democratic Republic of,Congo DR,1991,Earths,0.0290815925175459,0.01896302516363,0.143251967284193,0.0107463890928219,0.273031721053633,0.014743326188909,0.489818021300733,3A,CD
Congo, Democratic Republic of,Congo DR,1992,Earths,0.0300937706846198,0.0175631062165925,0.142297345714403,0.0105609461225666,0.282042829961125,0.0140703059166099,0.496628304615919,3A,CD
Congo, Democratic Republic of,Congo DR,1993,Earths,0.0304364472566701,0.016357292558462,0.14006137684805,0.014694047678984,0.297184224696528,0.0143138869048168,0.513047275943514,3A,CD
Congo, Democratic Republic of,Congo DR,1994,Earths,0.0311811065247519,0.0172008730271235,0.137449964934134,0.00889249813173555,0.303324919835731,0.0132043180474911,0.511253680500968,3A,CD
Congo, Democratic Republic of,Congo DR,1995,Earths,0.0267291445296536,0.0194847993531677,0.113843910972007,0.0101050163720495,0.309365833065973,0.0125634515928918,0.492092155885743,3A,CD
Congo, Democratic Republic of,Congo DR,1996,Earths,0.0274556574259134,0.0229229270331786,0.112458006419297,0.0112000276860694,0.308689955885544,0.0118589514787657,0.494585525928767,3A,CD
Congo, Democratic Republic of,Congo DR,1997,Earths,0.0274250773932458,0.0215878773609956,0.109968550792544,0.00999803685349219,0.309403135242713,0.0116413462005091,0.4900240238435,3A,CD
Congo, Democratic Republic of,Congo DR,1998,Earths,0.0288264249422768,0.0229501488740302,0.111016021609456,0.0128332402305098,0.309862117231883,0.0109018501930549,0.49638980308121,3A,CD
Congo, Democratic Republic of,Congo DR,1999,Earths,0.0286454874312772,0.0227473054585259,0.10633274127378,0.00983007122990674,0.309650752530578,0.00967952734402671,0.486885885268095,3A,CD
Congo, Democratic Republic of,Congo DR,2000,Earths,0.0278288196845556,0.0210610879451862,0.101703910575104,0.00901716701362326,0.311324997483966,0.0104591594954412,0.481395142197876,3A,CD
Congo, Democratic Republic of,Congo DR,2001,Earths,0.0271789112244596,0.0221163151331405,0.0977771214002447,0.00907845195264716,0.310334462826714,0.010560548683524,0.477045811220729,3A,CD
Congo, Democratic Republic of,Congo DR,2002,Earths,0.0271176541043736,0.0216670204447276,0.0969700300747188,0.00881815150413272,0.310914164896427,0.0114274635041091,0.476914484528489,3A,CD
Congo, Democratic Republic of,Congo DR,2003,Earths,0.0269997180934309,0.0228111355903311,0.0966022792770816,0.00855098033071757,0.31061602258668,0.010921257145268,0.476501393023509,3A,CD
Congo, Democratic Republic of,Congo DR,2004,Earths,0.027911922241219,0.0217044637564514,0.0964379835172614,0.00833977248480686,0.304432690230885,0.0108224198743467,0.46964925210497,3A,CD
Congo, Democratic Republic of,Congo DR,2005,Earths,0.0273602916035796,0.0248128397154023,0.0919891463433758,0.0082477257619596,0.305459366174133,0.0119103616396262,0.469779731238076,3A,CD
Congo, Democratic Republic of,Congo DR,2006,Earths,0.0274952208835075,0.0297475392259102,0.0941342498029097,0.00851295861874202,0.30374413227039,0.0122232580687225,0.475857358870182,3A,CD
Congo, Democratic Republic of,Congo DR,2007,Earths,0.0278775430495687,0.0346701577951751,0.0890385582058133,0.00846388664369852,0.300754540122886,0.010251671109206,0.471056356926347,3A,CD
Congo, Democratic Republic of,Congo DR,2008,Earths,0.0279545239730959,0.0330623967516797,0.0865325259972778,0.0079640440375573,0.293964113093775,0.0107488899514137,0.4602264938048,3A,CD
