Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Djibouti,Djibouti,1961,Earths,null,null,null,null,null,null,0.660681254877526,2A,DJ
Djibouti,Djibouti,1962,Earths,null,null,null,null,null,null,0.644738186294866,2A,DJ
Djibouti,Djibouti,1963,Earths,null,null,null,null,null,null,0.635194716526681,2A,DJ
Djibouti,Djibouti,1964,Earths,null,null,null,null,null,null,0.638893013393514,2A,DJ
Djibouti,Djibouti,1965,Earths,null,null,null,null,null,null,0.679701661286697,2A,DJ
Djibouti,Djibouti,1966,Earths,null,null,null,null,null,null,0.706742240498476,2A,DJ
Djibouti,Djibouti,1967,Earths,null,null,null,null,null,null,0.630506821476044,2A,DJ
Djibouti,Djibouti,1968,Earths,null,null,null,null,null,null,0.669068445061075,2A,DJ
Djibouti,Djibouti,1969,Earths,null,null,null,null,null,null,0.646306664632073,2A,DJ
Djibouti,Djibouti,1970,Earths,null,null,null,null,null,null,0.727996209647493,2A,DJ
Djibouti,Djibouti,1971,Earths,null,null,null,null,null,null,0.71463575326197,2A,DJ
Djibouti,Djibouti,1972,Earths,null,null,null,null,null,null,0.738480895776292,2A,DJ
Djibouti,Djibouti,1973,Earths,null,null,null,null,null,null,0.700752220860685,2A,DJ
Djibouti,Djibouti,1974,Earths,null,null,null,null,null,null,0.721297489256582,2A,DJ
Djibouti,Djibouti,1975,Earths,null,null,null,null,null,null,0.710968305579169,2A,DJ
Djibouti,Djibouti,1976,Earths,null,null,null,null,null,null,0.700309668269838,2A,DJ
Djibouti,Djibouti,1977,Earths,null,null,null,null,null,null,0.647823815434876,2A,DJ
Djibouti,Djibouti,1978,Earths,null,null,null,null,null,null,0.599337099144057,2A,DJ
Djibouti,Djibouti,1979,Earths,null,null,null,null,null,null,0.574445253254098,2A,DJ
Djibouti,Djibouti,1980,Earths,null,null,null,null,null,null,0.600550288497944,2A,DJ
Djibouti,Djibouti,1981,Earths,null,null,null,null,null,null,0.538928433816691,2A,DJ
Djibouti,Djibouti,1982,Earths,null,null,null,null,null,null,0.528001180262192,2A,DJ
Djibouti,Djibouti,1983,Earths,null,null,null,null,null,null,0.495302460917429,2A,DJ
Djibouti,Djibouti,1984,Earths,null,null,null,null,null,null,0.486397003452778,2A,DJ
Djibouti,Djibouti,1985,Earths,null,null,null,null,null,null,0.494905691179468,2A,DJ
Djibouti,Djibouti,1986,Earths,null,null,null,null,null,null,0.442013582006164,2A,DJ
Djibouti,Djibouti,1987,Earths,null,null,null,null,null,null,0.414443264946689,2A,DJ
Djibouti,Djibouti,1988,Earths,null,null,null,null,null,null,0.403520467128857,2A,DJ
Djibouti,Djibouti,1989,Earths,null,null,null,null,null,null,0.378314237721114,2A,DJ
Djibouti,Djibouti,1990,Earths,null,null,null,null,null,null,0.494213514154053,2A,DJ
Djibouti,Djibouti,1991,Earths,null,null,null,null,null,null,0.574075814114001,2A,DJ
Djibouti,Djibouti,1992,Earths,null,null,null,null,null,null,0.555005830119348,2A,DJ
Djibouti,Djibouti,1993,Earths,null,null,null,null,null,null,0.659826775696302,2A,DJ
Djibouti,Djibouti,1994,Earths,null,null,null,null,null,null,0.655482204942753,2A,DJ
Djibouti,Djibouti,1995,Earths,null,null,null,null,null,null,0.639080265530267,2A,DJ
Djibouti,Djibouti,1996,Earths,null,null,null,null,null,null,0.660180464432153,2A,DJ
Djibouti,Djibouti,1997,Earths,null,null,null,null,null,null,0.663435066420387,2A,DJ
Djibouti,Djibouti,1998,Earths,null,null,null,null,null,null,0.695987690819305,2A,DJ
Djibouti,Djibouti,1999,Earths,null,null,null,null,null,null,0.77345308748692,2A,DJ
Djibouti,Djibouti,2000,Earths,null,null,null,null,null,null,0.72200034106938,2A,DJ
Djibouti,Djibouti,2001,Earths,null,null,null,null,null,null,0.722009379552249,2A,DJ
Djibouti,Djibouti,2002,Earths,null,null,null,null,null,null,0.796794091756667,2A,DJ
Djibouti,Djibouti,2003,Earths,null,null,null,null,null,null,0.754590609860969,2A,DJ
Djibouti,Djibouti,2004,Earths,null,null,null,null,null,null,0.826938005606065,2A,DJ
Djibouti,Djibouti,2005,Earths,null,null,null,null,null,null,0.929800188896133,2A,DJ
Djibouti,Djibouti,2006,Earths,null,null,null,null,null,null,0.861881341815676,2A,DJ
Djibouti,Djibouti,2007,Earths,null,null,null,null,null,null,0.915067777458192,2A,DJ
Djibouti,Djibouti,2008,Earths,null,null,null,null,null,null,1.05879526096727,2A,DJ
Djibouti,Djibouti,2009,Earths,null,null,null,null,null,null,1.17153547053871,2A,DJ
Djibouti,Djibouti,2010,Earths,null,null,null,null,null,null,1.00589748608423,2A,DJ
Djibouti,Djibouti,2011,Earths,null,null,null,null,null,null,1.27207418551487,2A,DJ
Djibouti,Djibouti,2012,Earths,null,null,null,null,null,null,1.47722288848365,2A,DJ
Djibouti,Djibouti,2013,Earths,null,null,null,null,null,null,1.7610868429192,2A,DJ
Djibouti,Djibouti,2014,Earths,0.120963779803614,0.251233748708374,1.02387595546329,0.0205100156990101,0.174537878903841,0.155172407184203,1.74629378576233,2A,DJ
