Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Dominica,Dominica,1961,Earths,null,null,null,null,null,null,0.219681053368256,2B,DM
Dominica,Dominica,1962,Earths,null,null,null,null,null,null,0.223121608727145,2B,DM
Dominica,Dominica,1963,Earths,null,null,null,null,null,null,0.25162718316154,2B,DM
Dominica,Dominica,1964,Earths,null,null,null,null,null,null,0.239938893635841,2B,DM
Dominica,Dominica,1965,Earths,null,null,null,null,null,null,0.253989383257116,2B,DM
Dominica,Dominica,1966,Earths,null,null,null,null,null,null,0.248326292326732,2B,DM
Dominica,Dominica,1967,Earths,null,null,null,null,null,null,0.268562778878902,2B,DM
Dominica,Dominica,1968,Earths,null,null,null,null,null,null,0.29028017313868,2B,DM
Dominica,Dominica,1969,Earths,null,null,null,null,null,null,0.286097323652926,2B,DM
Dominica,Dominica,1970,Earths,null,null,null,null,null,null,0.332354727942833,2B,DM
Dominica,Dominica,1971,Earths,null,null,null,null,null,null,0.328210657170198,2B,DM
Dominica,Dominica,1972,Earths,null,null,null,null,null,null,0.355524460106787,2B,DM
Dominica,Dominica,1973,Earths,null,null,null,null,null,null,0.381373753153672,2B,DM
Dominica,Dominica,1974,Earths,null,null,null,null,null,null,0.39638820184728,2B,DM
Dominica,Dominica,1975,Earths,null,null,null,null,null,null,0.415045431358787,2B,DM
Dominica,Dominica,1976,Earths,null,null,null,null,null,null,0.406271740492076,2B,DM
Dominica,Dominica,1977,Earths,null,null,null,null,null,null,0.453585458383918,2B,DM
Dominica,Dominica,1978,Earths,null,null,null,null,null,null,0.474417064103508,2B,DM
Dominica,Dominica,1979,Earths,null,null,null,null,null,null,0.393005101953073,2B,DM
Dominica,Dominica,1980,Earths,null,null,null,null,null,null,0.489173388649275,2B,DM
Dominica,Dominica,1981,Earths,null,null,null,null,null,null,0.500871435445414,2B,DM
Dominica,Dominica,1982,Earths,null,null,null,null,null,null,0.524632825610749,2B,DM
Dominica,Dominica,1983,Earths,null,null,null,null,null,null,0.508418278187321,2B,DM
Dominica,Dominica,1984,Earths,null,null,null,null,null,null,0.578971516453229,2B,DM
Dominica,Dominica,1985,Earths,null,null,null,null,null,null,0.59878833616552,2B,DM
Dominica,Dominica,1986,Earths,null,null,null,null,null,null,0.624892439153166,2B,DM
Dominica,Dominica,1987,Earths,null,null,null,null,null,null,0.687375534933757,2B,DM
Dominica,Dominica,1988,Earths,null,null,null,null,null,null,0.830469687323294,2B,DM
Dominica,Dominica,1989,Earths,null,null,null,null,null,null,0.981749326527053,2B,DM
Dominica,Dominica,1990,Earths,null,null,null,null,null,null,1.06390533229902,2B,DM
Dominica,Dominica,1991,Earths,null,null,null,null,null,null,1.06720091376119,2B,DM
Dominica,Dominica,1992,Earths,null,null,null,null,null,null,0.978971521733491,2B,DM
Dominica,Dominica,1993,Earths,null,null,null,null,null,null,1.05377975631901,2B,DM
Dominica,Dominica,1994,Earths,null,null,null,null,null,null,1.02403975525746,2B,DM
Dominica,Dominica,1995,Earths,null,null,null,null,null,null,1.03326956516752,2B,DM
Dominica,Dominica,1996,Earths,null,null,null,null,null,null,1.09957487068932,2B,DM
Dominica,Dominica,1997,Earths,null,null,null,null,null,null,1.1751690191556,2B,DM
Dominica,Dominica,1998,Earths,null,null,null,null,null,null,1.18090657689049,2B,DM
Dominica,Dominica,1999,Earths,null,null,null,null,null,null,1.28730093094857,2B,DM
Dominica,Dominica,2000,Earths,null,null,null,null,null,null,1.4891437625053,2B,DM
Dominica,Dominica,2001,Earths,null,null,null,null,null,null,1.34393480572499,2B,DM
Dominica,Dominica,2002,Earths,null,null,null,null,null,null,1.24475829839631,2B,DM
Dominica,Dominica,2003,Earths,null,null,null,null,null,null,1.26691981273161,2B,DM
Dominica,Dominica,2004,Earths,null,null,null,null,null,null,1.27533242574159,2B,DM
Dominica,Dominica,2005,Earths,null,null,null,null,null,null,1.34085479808221,2B,DM
Dominica,Dominica,2006,Earths,null,null,null,null,null,null,1.29152153646146,2B,DM
Dominica,Dominica,2007,Earths,null,null,null,null,null,null,1.57007742336564,2B,DM
Dominica,Dominica,2008,Earths,null,null,null,null,null,null,1.41804367271184,2B,DM
Dominica,Dominica,2009,Earths,null,null,null,null,null,null,1.67957412368278,2B,DM
Dominica,Dominica,2010,Earths,null,null,null,null,null,null,1.31655276220423,2B,DM
Dominica,Dominica,2011,Earths,null,null,null,null,null,null,1.36811333004559,2B,DM
Dominica,Dominica,2012,Earths,null,null,null,null,null,null,1.54291670458566,2B,DM
Dominica,Dominica,2013,Earths,null,null,null,null,null,null,1.47917503301531,2B,DM
Dominica,Dominica,2014,Earths,null,null,null,null,null,null,1.50327129588291,2B,DM
