Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Finland,Finland,1961,Earths,null,null,null,null,null,null,2.15899435433917,2A,FI
Finland,Finland,1962,Earths,null,null,null,null,null,null,2.06525442479717,2A,FI
Finland,Finland,1963,Earths,null,null,null,null,null,null,2.18709175102952,2A,FI
Finland,Finland,1964,Earths,null,null,null,null,null,null,2.32183199377507,2A,FI
Finland,Finland,1965,Earths,null,null,null,null,null,null,2.45476516678246,2A,FI
Finland,Finland,1966,Earths,null,null,null,null,null,null,2.39273777984536,2A,FI
Finland,Finland,1967,Earths,null,null,null,null,null,null,2.50344694827545,2A,FI
Finland,Finland,1968,Earths,null,null,null,null,null,null,2.06016254584897,2A,FI
Finland,Finland,1969,Earths,null,null,null,null,null,null,2.33337505575005,2A,FI
Finland,Finland,1970,Earths,null,null,null,null,null,null,2.65019360482375,2A,FI
Finland,Finland,1971,Earths,null,null,null,null,null,null,2.75679093279456,2A,FI
Finland,Finland,1972,Earths,null,null,null,null,null,null,2.7395207900765,2A,FI
Finland,Finland,1973,Earths,null,null,null,null,null,null,2.92972862222771,2A,FI
Finland,Finland,1974,Earths,null,null,null,null,null,null,2.93717193610798,2A,FI
Finland,Finland,1975,Earths,null,null,null,null,null,null,3.16475893651695,2A,FI
Finland,Finland,1976,Earths,null,null,null,null,null,null,3.09150025352603,2A,FI
Finland,Finland,1977,Earths,null,null,null,null,null,null,2.80243930387681,2A,FI
Finland,Finland,1978,Earths,null,null,null,null,null,null,2.87203594596031,2A,FI
Finland,Finland,1979,Earths,null,null,null,null,null,null,3.2459942275353,2A,FI
Finland,Finland,1980,Earths,null,null,null,null,null,null,3.44951938307946,2A,FI
Finland,Finland,1981,Earths,null,null,null,null,null,null,2.97042657038973,2A,FI
Finland,Finland,1982,Earths,null,null,null,null,null,null,3.08145490044157,2A,FI
Finland,Finland,1983,Earths,null,null,null,null,null,null,2.98898856256671,2A,FI
Finland,Finland,1984,Earths,null,null,null,null,null,null,2.91790483415229,2A,FI
Finland,Finland,1985,Earths,null,null,null,null,null,null,3.06209641016299,2A,FI
Finland,Finland,1986,Earths,null,null,null,null,null,null,3.00775168683491,2A,FI
Finland,Finland,1987,Earths,null,null,null,null,null,null,2.9639804451894,2A,FI
Finland,Finland,1988,Earths,null,null,null,null,null,null,3.3110768456707,2A,FI
Finland,Finland,1989,Earths,null,null,null,null,null,null,3.8423178010952,2A,FI
Finland,Finland,1990,Earths,null,null,null,null,null,null,3.47989551300077,2A,FI
Finland,Finland,1991,Earths,null,null,null,null,null,null,2.68115173672373,2A,FI
Finland,Finland,1992,Earths,null,null,null,null,null,null,2.78313689349845,2A,FI
Finland,Finland,1993,Earths,null,null,null,null,null,null,2.65352016177898,2A,FI
Finland,Finland,1994,Earths,null,null,null,null,null,null,3.07630202873254,2A,FI
Finland,Finland,1995,Earths,null,null,null,null,null,null,3.45609380465411,2A,FI
Finland,Finland,1996,Earths,null,null,null,null,null,null,3.25231378763994,2A,FI
Finland,Finland,1997,Earths,null,null,null,null,null,null,3.12656623431418,2A,FI
Finland,Finland,1998,Earths,null,null,null,null,null,null,3.13226302141924,2A,FI
Finland,Finland,1999,Earths,null,null,null,null,null,null,3.04649544809371,2A,FI
Finland,Finland,2000,Earths,null,null,null,null,null,null,3.32372834500748,2A,FI
Finland,Finland,2001,Earths,null,null,null,null,null,null,3.63681572305648,2A,FI
Finland,Finland,2002,Earths,null,null,null,null,null,null,3.81747572220496,2A,FI
Finland,Finland,2003,Earths,null,null,null,null,null,null,3.9672635880195,2A,FI
Finland,Finland,2004,Earths,null,null,null,null,null,null,3.76047244078211,2A,FI
Finland,Finland,2005,Earths,null,null,null,null,null,null,4.39362647993547,2A,FI
Finland,Finland,2006,Earths,null,null,null,null,null,null,4.11208077507909,2A,FI
Finland,Finland,2007,Earths,null,null,null,null,null,null,4.17819345306012,2A,FI
Finland,Finland,2008,Earths,null,null,null,null,null,null,4.26767516137505,2A,FI
Finland,Finland,2009,Earths,null,null,null,null,null,null,3.6377959885084,2A,FI
Finland,Finland,2010,Earths,null,null,null,null,null,null,3.80318875791453,2A,FI
Finland,Finland,2011,Earths,null,null,null,null,null,null,3.65165285447987,2A,FI
Finland,Finland,2012,Earths,null,null,null,null,null,null,3.48510059917574,2A,FI
Finland,Finland,2013,Earths,null,null,null,null,null,null,3.74689767359242,2A,FI
Finland,Finland,2014,Earths,0.092267567969127,2.38677732604836,0.598541036048787,0.149204824230426,0.293819754344439,0.102435485785089,3.62304599442623,2A,FI
