Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
French Polynesia,French Polynesia,1965,Earths,null,null,null,null,null,null,0.787753623853476,2A,PF
French Polynesia,French Polynesia,1966,Earths,null,null,null,null,null,null,1.12071567777303,2A,PF
French Polynesia,French Polynesia,1967,Earths,null,null,null,null,null,null,1.07471792945206,2A,PF
French Polynesia,French Polynesia,1968,Earths,null,null,null,null,null,null,1.26054291204913,2A,PF
French Polynesia,French Polynesia,1969,Earths,null,null,null,null,null,null,1.28078758958855,2A,PF
French Polynesia,French Polynesia,1970,Earths,null,null,null,null,null,null,1.41833399108264,2A,PF
French Polynesia,French Polynesia,1971,Earths,null,null,null,null,null,null,1.49667051061427,2A,PF
French Polynesia,French Polynesia,1972,Earths,null,null,null,null,null,null,1.36280208226282,2A,PF
French Polynesia,French Polynesia,1973,Earths,null,null,null,null,null,null,1.39097218318699,2A,PF
French Polynesia,French Polynesia,1974,Earths,null,null,null,null,null,null,1.53691307555663,2A,PF
French Polynesia,French Polynesia,1975,Earths,null,null,null,null,null,null,1.44691093664478,2A,PF
French Polynesia,French Polynesia,1976,Earths,null,null,null,null,null,null,1.47615010848203,2A,PF
French Polynesia,French Polynesia,1977,Earths,null,null,null,null,null,null,1.42454119380873,2A,PF
French Polynesia,French Polynesia,1978,Earths,null,null,null,null,null,null,1.63662596267911,2A,PF
French Polynesia,French Polynesia,1979,Earths,null,null,null,null,null,null,1.69776115146521,2A,PF
French Polynesia,French Polynesia,1980,Earths,null,null,null,null,null,null,1.61628024871157,2A,PF
French Polynesia,French Polynesia,1981,Earths,null,null,null,null,null,null,1.66170779079694,2A,PF
French Polynesia,French Polynesia,1982,Earths,null,null,null,null,null,null,1.68293428938306,2A,PF
French Polynesia,French Polynesia,1983,Earths,null,null,null,null,null,null,1.80684889242733,2A,PF
French Polynesia,French Polynesia,1984,Earths,null,null,null,null,null,null,1.91123152348695,2A,PF
French Polynesia,French Polynesia,1985,Earths,null,null,null,null,null,null,1.93309616699853,2A,PF
French Polynesia,French Polynesia,1986,Earths,null,null,null,null,null,null,2.00219746835095,2A,PF
French Polynesia,French Polynesia,1987,Earths,null,null,null,null,null,null,2.05005028333057,2A,PF
French Polynesia,French Polynesia,1988,Earths,null,null,null,null,null,null,2.01283984520653,2A,PF
French Polynesia,French Polynesia,1989,Earths,null,null,null,null,null,null,1.98184668438214,2A,PF
French Polynesia,French Polynesia,1990,Earths,null,null,null,null,null,null,2.01708135056252,2A,PF
French Polynesia,French Polynesia,1991,Earths,null,null,null,null,null,null,1.91427684025589,2A,PF
French Polynesia,French Polynesia,1992,Earths,null,null,null,null,null,null,1.87340754604401,2A,PF
French Polynesia,French Polynesia,1993,Earths,null,null,null,null,null,null,1.99435850929041,2A,PF
French Polynesia,French Polynesia,1994,Earths,null,null,null,null,null,null,2.06632898322763,2A,PF
French Polynesia,French Polynesia,1995,Earths,null,null,null,null,null,null,2.15470559539675,2A,PF
French Polynesia,French Polynesia,1996,Earths,null,null,null,null,null,null,2.08841313491808,2A,PF
French Polynesia,French Polynesia,1997,Earths,null,null,null,null,null,null,2.26389724043792,2A,PF
French Polynesia,French Polynesia,1998,Earths,null,null,null,null,null,null,2.40812085383436,2A,PF
French Polynesia,French Polynesia,1999,Earths,null,null,null,null,null,null,2.46879754799023,2A,PF
French Polynesia,French Polynesia,2000,Earths,null,null,null,null,null,null,2.48622668283597,2A,PF
French Polynesia,French Polynesia,2001,Earths,null,null,null,null,null,null,2.70618404397206,2A,PF
French Polynesia,French Polynesia,2002,Earths,null,null,null,null,null,null,2.69162892027564,2A,PF
French Polynesia,French Polynesia,2003,Earths,null,null,null,null,null,null,2.75146927745356,2A,PF
French Polynesia,French Polynesia,2004,Earths,null,null,null,null,null,null,2.78802938604577,2A,PF
French Polynesia,French Polynesia,2005,Earths,null,null,null,null,null,null,2.78297850218669,2A,PF
French Polynesia,French Polynesia,2006,Earths,null,null,null,null,null,null,2.69989048709679,2A,PF
French Polynesia,French Polynesia,2007,Earths,null,null,null,null,null,null,2.8836518913841,2A,PF
French Polynesia,French Polynesia,2008,Earths,null,null,null,null,null,null,2.74951053986719,2A,PF
French Polynesia,French Polynesia,2009,Earths,null,null,null,null,null,null,2.69459544216996,2A,PF
French Polynesia,French Polynesia,2010,Earths,null,null,null,null,null,null,2.67476825501002,2A,PF
French Polynesia,French Polynesia,2011,Earths,null,null,null,null,null,null,2.56959988772419,2A,PF
French Polynesia,French Polynesia,2012,Earths,null,null,null,null,null,null,2.50036164710854,2A,PF
French Polynesia,French Polynesia,2013,Earths,null,null,null,null,null,null,2.43975132893628,2A,PF
French Polynesia,French Polynesia,2014,Earths,0,1.042824710472,0.45634261566457,0.502595129706739,0.0684630604873908,0.368672282630513,2.43889779896122,2A,PF
