Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Greece,Greece,1961,Earths,0.010702423487615,0.176299085288082,0.255784196366642,0.0271259333322764,0.0643997889747584,0.093242159453719,0.627553586903093,3A,GR
Greece,Greece,1962,Earths,0.00947388610286438,0.18991965979639,0.215282152162843,0.0260295890357206,0.0617011940768368,0.093360489694978,0.595766970869631,3A,GR
Greece,Greece,1963,Earths,0.00958981934771512,0.211463990919018,0.241213926081153,0.0271962006227563,0.0649300942551163,0.10390853788488,0.65830256911064,3A,GR
Greece,Greece,1964,Earths,0.0108354714125535,0.241521896348158,0.266803428440218,0.0246213500101917,0.0713879818544352,0.10180673286502,0.716976860930575,3A,GR
Greece,Greece,1965,Earths,0.0116272581034716,0.289267629075729,0.293947879856623,0.0309633582915922,0.0773781188783441,0.113862747632279,0.817046991838041,3A,GR
Greece,Greece,1966,Earths,0.0125349105181823,0.319274984493822,0.283052892467455,0.0280474908109634,0.0764405239530018,0.11854235688179,0.837893159125214,3A,GR
Greece,Greece,1967,Earths,0.0131251579230831,0.334111086572237,0.289319304931706,0.0295771681342761,0.0740514500161734,0.126740307037878,0.866924474615355,3A,GR
Greece,Greece,1968,Earths,0.0111295230722678,0.361146554499082,0.257827287052479,0.0314828421461474,0.102096040202929,0.136575444167713,0.900257691140619,3A,GR
Greece,Greece,1969,Earths,0.0119246080900901,0.400308951833657,0.301522842837619,0.0318747345345488,0.0893881266450383,0.142398704843051,0.977417968784003,3A,GR
Greece,Greece,1970,Earths,0.014454772096947,0.449270820209922,0.355855652861209,0.0273142783470103,0.101075876266092,0.166078009400848,1.11404940918203,3A,GR
Greece,Greece,1971,Earths,0.0140540156580341,0.534522697044842,0.331328881888815,0.0345776159082216,0.102757432157681,0.165275733133025,1.18251637579062,3A,GR
Greece,Greece,1972,Earths,0.0159163805690663,0.631507469094578,0.363971613865067,0.0300239352640802,0.101198557704738,0.156297870011376,1.29891582650891,3A,GR
Greece,Greece,1973,Earths,0.0147505012790217,0.745704980795169,0.359252671979422,0.034076367068037,0.109624411532933,0.174597360244168,1.43800629289875,3A,GR
Greece,Greece,1974,Earths,0.0166964800008105,0.733297991817215,0.430666110229353,0.033090997356824,0.0991751978764327,0.132424966405871,1.4453517436865,3A,GR
Greece,Greece,1975,Earths,0.0175396553366201,0.718146960045337,0.411756895679123,0.0297517639897856,0.102368957479597,0.165598602187634,1.4451628347181,3A,GR
Greece,Greece,1976,Earths,0.0182761262748529,0.894795919402153,0.417868153800819,0.0356640776431571,0.116183471305861,0.193679445874984,1.67646719430183,3A,GR
Greece,Greece,1977,Earths,0.0159045378910199,0.782600881437745,0.384406955779831,0.0332524154286741,0.106562595358826,0.198364522209387,1.52109190810548,3A,GR
Greece,Greece,1978,Earths,0.019526013792209,0.794519533547329,0.444624746851293,0.0286984488324551,0.102507986525791,0.219438001239251,1.60931473078833,3A,GR
Greece,Greece,1979,Earths,0.0187680593773571,0.889727479995176,0.418871203604939,0.0287806585658142,0.107550027772852,0.196374143284437,1.66007157260057,3A,GR
Greece,Greece,1980,Earths,0.0216360864825931,0.823070474935073,0.488709336867448,0.0411459518216915,0.113016562564559,0.201146601920044,1.68872501459141,3A,GR
Greece,Greece,1981,Earths,0.0237607213067804,0.799516428206735,0.503097897360507,0.0406024438164825,0.102804934444847,0.150991065884166,1.62077349101952,3A,GR
Greece,Greece,1982,Earths,0.0236125605581804,0.841258734884136,0.498801385345984,0.042782679726164,0.101492672895219,0.190649004451334,1.69859703786101,3A,GR
Greece,Greece,1983,Earths,0.0217779372892131,0.89898379588496,0.396248580335625,0.0405238519416848,0.125131693772356,0.21573429743685,1.69840015666069,3A,GR
Greece,Greece,1984,Earths,0.0232209889126331,0.905753767957931,0.412664720898636,0.0419224680919837,0.118455357447269,0.210801270409798,1.71281857371825,3A,GR
Greece,Greece,1985,Earths,0.0242853618281005,0.980293912880144,0.498867198561777,0.0444452749105361,0.127245871172997,0.214089474672686,1.88922709402624,3A,GR
Greece,Greece,1986,Earths,0.025550514406121,1.00010984927164,0.500115943449618,0.0483210538548067,0.143852242103592,0.227284848549803,1.94523445163558,3A,GR
Greece,Greece,1987,Earths,0.0249093456610734,1.14005303012085,0.546442958652573,0.0513448123240781,0.150876226843665,0.242792548938029,2.15641892254027,3A,GR
Greece,Greece,1988,Earths,0.0283147091909786,1.19446823402995,0.624508887485989,0.0474468356731609,0.147530547047255,0.191252474882674,2.23352168831001,3A,GR
Greece,Greece,1989,Earths,0.0290625653061129,1.32876465182108,0.529588271569047,0.0549015664574254,0.180192301880869,0.22686851425999,2.34937787129453,3A,GR
Greece,Greece,1990,Earths,0.0229867824999123,1.36283440517249,0.476805372997946,0.0541575145573308,0.171367009897877,0.222975601739112,2.31112668686467,3A,GR
Greece,Greece,1991,Earths,0.0297498555867113,1.39957070553574,0.602200210917145,0.0555224479163924,0.162457276083308,0.207411487831112,2.45691198387041,3A,GR
Greece,Greece,1992,Earths,0.0284916759867919,1.44083918236847,0.502375641183677,0.0577403576468337,0.140597398535536,0.221585505940497,2.39162976166181,3A,GR
Greece,Greece,1993,Earths,0.0281704729968865,1.42778096082355,0.52203843982049,0.0599399582673011,0.129399493820712,0.210875886338085,2.37820521206702,3A,GR
Greece,Greece,1994,Earths,0.0318047287179721,1.41140726263415,0.575577177275006,0.0732514227975869,0.128331831540634,0.218208202672994,2.43858062563834,3A,GR
Greece,Greece,1995,Earths,0.0335671395572424,1.53132768557519,0.649783047946922,0.0641697395978299,0.0970772176302089,0.22248792450622,2.59841275481361,3A,GR
Greece,Greece,1996,Earths,0.0298223792768016,1.62418158065355,0.580146461468869,0.0654736952481045,0.113877915791293,0.232560803813447,2.64606283625206,3A,GR
Greece,Greece,1997,Earths,0.029991311185317,1.53652244734345,0.613247281347028,0.0641391778081798,0.181543010142532,0.212547278001453,2.63799050582796,3A,GR
Greece,Greece,1998,Earths,0.03246029194916,1.6261232851629,0.666767889027929,0.0608016165724455,0.162596233015022,0.236181015918266,2.78493033164572,3A,GR
