Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Kenya,Kenya,1961,Earths,0.0059162144762419,0.0358440461381701,0.0982412112209361,0.00158519177290084,0.139756182692888,0.267670810701579,0.549013657002715,3A,KE
Kenya,Kenya,1962,Earths,0.00636209587522715,0.0384273487894487,0.101451751859252,0.0019393176306611,0.140440920679408,0.258780802362213,0.547402237196209,3A,KE
Kenya,Kenya,1963,Earths,0.00699445501840884,0.042621939236706,0.103307085566396,0.00198131011889233,0.142868978071454,0.237468008244834,0.535241776256691,3A,KE
Kenya,Kenya,1964,Earths,0.00712583951126658,0.0441240133791518,0.102439907298762,0.00188629965881169,0.143662677633233,0.260220723042945,0.559459460524169,3A,KE
Kenya,Kenya,1965,Earths,0.00731762157431245,0.0426227600829004,0.107384646792638,0.00211658491554463,0.145960075998585,0.258950141733693,0.564351831097674,3A,KE
Kenya,Kenya,1966,Earths,0.00761340221541019,0.0455316671060796,0.107746891345785,0.00234161515412578,0.145834254044647,0.262029803326969,0.571097633193018,3A,KE
Kenya,Kenya,1967,Earths,0.00820202497089049,0.0434699739777692,0.103745501798526,0.00227471447205054,0.14862450855056,0.251693011823746,0.558009735593542,3A,KE
Kenya,Kenya,1968,Earths,0.00928335879078005,0.0435761146705148,0.111063852894012,0.00248059936125659,0.149607968977713,0.244622043662494,0.560633938356772,3A,KE
Kenya,Kenya,1969,Earths,0.00981983105953709,0.0468262447196826,0.115417620359577,0.00243811363567453,0.151767165114062,0.239724478674981,0.565993453563513,3A,KE
Kenya,Kenya,1970,Earths,0.0101085157560099,0.0500703534863198,0.114827377866,0.00241066370304756,0.151913730299096,0.258657193587649,0.587987834698124,3A,KE
Kenya,Kenya,1971,Earths,0.0100830952211003,0.0556721946417999,0.117771332601653,0.00205074519668451,0.149127917717083,0.263206496905624,0.597911782283944,3A,KE
Kenya,Kenya,1972,Earths,0.010888533525857,0.0583920377633354,0.119905970453164,0.00217337240757593,0.14775320925995,0.257714832677523,0.596827956087406,3A,KE
Kenya,Kenya,1973,Earths,0.0120952505959195,0.0619952197182678,0.123596076576544,0.00204428678251595,0.149781745378969,0.255954636673666,0.605467215725883,3A,KE
Kenya,Kenya,1974,Earths,0.0127837059500342,0.06497082753805,0.129321473348161,0.00218479357804212,0.153622222941064,0.259770052593803,0.622653075949154,3A,KE
Kenya,Kenya,1975,Earths,0.0121981752185326,0.0643810052071384,0.129974659933893,0.00253787401253897,0.153573019735495,0.255379202798602,0.618043936906202,3A,KE
Kenya,Kenya,1976,Earths,0.0141073718830197,0.0686560964757144,0.141182397348817,0.00410420016081533,0.15590246854836,0.23478863477589,0.618741169192617,3A,KE
Kenya,Kenya,1977,Earths,0.0147217406353072,0.074608987226869,0.145516306567304,0.00437459630471641,0.15713571388411,0.241490962585655,0.637848307203962,3A,KE
Kenya,Kenya,1978,Earths,0.0143974099998314,0.0747652393619386,0.139182392921866,0.0055004399031363,0.161789337057059,0.274753995104422,0.670388814348254,3A,KE
Kenya,Kenya,1979,Earths,0.0137366522453062,0.0684034570549943,0.122712982276727,0.00849779042425199,0.162962273313916,0.276499007650314,0.652812162965508,3A,KE
Kenya,Kenya,1980,Earths,0.012834650456639,0.0753031099373187,0.118195212469211,0.00829104254352832,0.159756417379145,0.271991394265797,0.646371827051638,3A,KE
Kenya,Kenya,1981,Earths,0.0133610956156046,0.0678776017273724,0.117316278279437,0.0246203876390524,0.156838039548192,0.260604424018792,0.640617826828448,3A,KE
Kenya,Kenya,1982,Earths,0.0163123276408586,0.0595477308227482,0.138767338656039,0.0350950725197987,0.156328839148161,0.253971348490372,0.660022657277978,3A,KE
Kenya,Kenya,1983,Earths,0.0175689437145132,0.0537552228536873,0.140877320448665,0.0542517803913711,0.160802127275758,0.251519369398551,0.678774764082543,3A,KE
Kenya,Kenya,1984,Earths,0.0136412498836538,0.0595404207347815,0.107249367869347,0.0421497095416653,0.160630613778098,0.237508250352468,0.620719612160012,3A,KE
Kenya,Kenya,1985,Earths,0.0140643564825377,0.0610786017112223,0.124565080588706,0.0479641199727446,0.160914246191499,0.232077497546555,0.640663902493264,3A,KE
Kenya,Kenya,1986,Earths,0.016959340576341,0.0670389361273521,0.140028219852424,0.051742864459293,0.160443035048198,0.226736823792757,0.662949219856366,3A,KE
Kenya,Kenya,1987,Earths,0.0156384826358634,0.0679624588745031,0.129820873075981,0.0586120707597739,0.161565500482786,0.222088048211725,0.655687434040633,3A,KE
