Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Korea, Republic of,South Korea,1961,Earths,0.0168408177280775,0.0797523073427632,0.101341208417896,0.024375824631059,0.0286395146822301,0.000242584641610334,0.251192257443636,3A,KR
Korea, Republic of,South Korea,1962,Earths,0.0157413837718672,0.0908989955583367,0.0909731269616422,0.0253168399236393,0.0310264586287815,0.00227018203149874,0.256226986875765,3A,KR
Korea, Republic of,South Korea,1963,Earths,0.0156034358779389,0.109009929497521,0.101840397945165,0.0298338292147289,0.0333718652849099,0.00333884437889019,0.292998302199154,3A,KR
Korea, Republic of,South Korea,1964,Earths,0.0184619548201001,0.104551533799529,0.107578506150379,0.0315614367070371,0.0340264801777627,0.00176979476499365,0.297949706419801,3A,KR
Korea, Republic of,South Korea,1965,Earths,0.0188658475762237,0.11959269627355,0.111852298469093,0.0339976944173087,0.0373378294791095,0.00213263759073082,0.323779003806015,3A,KR
Korea, Republic of,South Korea,1966,Earths,0.0206957851807365,0.143724535075761,0.119465810455608,0.0412308253735641,0.0419580701562325,0.00268346974697438,0.369758495988876,3A,KR
Korea, Republic of,South Korea,1967,Earths,0.019299526440028,0.170826749666693,0.115969806077759,0.0393937021834239,0.0474155049217876,0.00389295864317551,0.396798247932867,3A,KR
Korea, Republic of,South Korea,1968,Earths,0.0195081076201933,0.193599590819861,0.121200117801132,0.0518827369857131,0.0546514646284266,0.00477443274442235,0.445616450599747,3A,KR
Korea, Republic of,South Korea,1969,Earths,0.0227590152596062,0.228003303617052,0.152241764597878,0.0509849637643521,0.056655744273906,0.00561368173799196,0.516258473250785,3A,KR
Korea, Republic of,South Korea,1970,Earths,0.022193333939619,0.268138388781886,0.142244426574412,0.0512731236424453,0.0448672477764061,0.00468494040762826,0.533401461122394,3A,KR
Korea, Republic of,South Korea,1971,Earths,0.0227751639980305,0.299275445233048,0.154641435698625,0.065358843233561,0.0530035285876997,0.00470904708254161,0.599763463833506,3A,KR
Korea, Republic of,South Korea,1972,Earths,0.0238675363400706,0.292353992427996,0.157098770907088,0.0946882783008361,0.0570212701556075,0.00849759877473147,0.633527446906329,3A,KR
Korea, Republic of,South Korea,1973,Earths,0.0233497130885118,0.361831258453104,0.151820818057067,0.108558928341787,0.0594893977351808,0.0142241498118431,0.719274265487493,3A,KR
Korea, Republic of,South Korea,1974,Earths,0.0244665147915958,0.381265018797994,0.147625711410619,0.137155689334649,0.0613211902376057,0.00737895304380787,0.759213077616271,3A,KR
Korea, Republic of,South Korea,1975,Earths,0.0275280881303222,0.398673469070871,0.165001805809285,0.132700932849042,0.0592432758857081,0.011518971433564,0.794666543178791,3A,KR
Korea, Republic of,South Korea,1976,Earths,0.0308302488180349,0.439027809001383,0.174637485728231,0.131010907267945,0.0672447286572037,0.0147461763076281,0.857497355780425,3A,KR
Korea, Republic of,South Korea,1977,Earths,0.0291654686253634,0.502515072810743,0.173986736599679,0.108322053083754,0.0798622123212533,0.0188865636163526,0.912738107057143,3A,KR
Korea, Republic of,South Korea,1978,Earths,0.0325711479688335,0.56028667953724,0.19222286841494,0.111100978697688,0.0968325607652973,0.0302409012968719,1.02325513668087,3A,KR
Korea, Republic of,South Korea,1979,Earths,0.0331593719555915,0.632908406652733,0.208870504140115,0.12442476776736,0.0954765368557183,0.0346562302368836,1.1294958176084,3A,KR
Korea, Republic of,South Korea,1980,Earths,0.0233296829348091,0.59710005474511,0.167602513076488,0.122076797298387,0.0748450859691954,0.0207759036444383,1.00573003766843,3A,KR
Korea, Republic of,South Korea,1981,Earths,0.02795991529748,0.538289879861637,0.207820517891976,0.142307595449319,0.0733241896929798,0.0307848505814566,1.02048694877485,3A,KR
Korea, Republic of,South Korea,1982,Earths,0.0290463057172411,0.580205936780886,0.196495082080232,0.136886662840477,0.0775186518669808,0.0381509717213168,1.05830361100713,3A,KR
Korea, Republic of,South Korea,1983,Earths,0.0297069765235026,0.626642627800195,0.210528968804633,0.133776171024595,0.0896105500595333,0.0398327471167735,1.13009804132923,3A,KR
Korea, Republic of,South Korea,1984,Earths,0.0308705555154345,0.623089212576761,0.206255328649793,0.135263804778675,0.0883049433964397,0.0285207773309608,1.11230462224807,3A,KR
Korea, Republic of,South Korea,1985,Earths,0.0305871706935513,0.666557350452282,0.211024217298298,0.140104629167374,0.0912458637984728,0.0270288118720383,1.16654804328201,3A,KR
Korea, Republic of,South Korea,1986,Earths,0.0314114790933715,0.675483636020511,0.227341510065621,0.144457986526846,0.0922805141122661,0.0308830996282064,1.20185822544682,3A,KR
