Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Martinique,Martinique,1961,Earths,null,null,null,null,null,null,0.420790879750086,2B,MQ
Martinique,Martinique,1962,Earths,null,null,null,null,null,null,0.418522864589172,2B,MQ
Martinique,Martinique,1963,Earths,null,null,null,null,null,null,0.474620143798834,2B,MQ
Martinique,Martinique,1964,Earths,null,null,null,null,null,null,0.498104398906734,2B,MQ
Martinique,Martinique,1965,Earths,null,null,null,null,null,null,0.531504536531816,2B,MQ
Martinique,Martinique,1966,Earths,null,null,null,null,null,null,0.549224184874507,2B,MQ
Martinique,Martinique,1967,Earths,null,null,null,null,null,null,0.610845788598864,2B,MQ
Martinique,Martinique,1968,Earths,null,null,null,null,null,null,0.605832487222697,2B,MQ
Martinique,Martinique,1969,Earths,null,null,null,null,null,null,0.645235720260675,2B,MQ
Martinique,Martinique,1970,Earths,null,null,null,null,null,null,0.670658036700755,2B,MQ
Martinique,Martinique,1971,Earths,null,null,null,null,null,null,0.69596579713324,2B,MQ
Martinique,Martinique,1972,Earths,null,null,null,null,null,null,0.847650356597182,2B,MQ
Martinique,Martinique,1973,Earths,null,null,null,null,null,null,0.889008383751207,2B,MQ
Martinique,Martinique,1974,Earths,null,null,null,null,null,null,0.905001113927613,2B,MQ
Martinique,Martinique,1975,Earths,null,null,null,null,null,null,0.814183143780305,2B,MQ
Martinique,Martinique,1976,Earths,null,null,null,null,null,null,0.872462862355558,2B,MQ
Martinique,Martinique,1977,Earths,null,null,null,null,null,null,0.881328153918284,2B,MQ
Martinique,Martinique,1978,Earths,null,null,null,null,null,null,0.849050681694447,2B,MQ
Martinique,Martinique,1979,Earths,null,null,null,null,null,null,1.0074372272031,2B,MQ
Martinique,Martinique,1980,Earths,null,null,null,null,null,null,1.08434380445352,2B,MQ
Martinique,Martinique,1981,Earths,null,null,null,null,null,null,1.10532847327519,2B,MQ
Martinique,Martinique,1982,Earths,null,null,null,null,null,null,1.16564410220378,2B,MQ
Martinique,Martinique,1983,Earths,null,null,null,null,null,null,0.999799907377669,2B,MQ
Martinique,Martinique,1984,Earths,null,null,null,null,null,null,1.45467857384656,2B,MQ
Martinique,Martinique,1985,Earths,null,null,null,null,null,null,1.29741795672921,2B,MQ
Martinique,Martinique,1986,Earths,null,null,null,null,null,null,1.34060988865978,2B,MQ
Martinique,Martinique,1987,Earths,null,null,null,null,null,null,1.49274686263285,2B,MQ
Martinique,Martinique,1988,Earths,null,null,null,null,null,null,1.54072997880615,2B,MQ
Martinique,Martinique,1989,Earths,null,null,null,null,null,null,1.43282459002224,2B,MQ
Martinique,Martinique,1990,Earths,null,null,null,null,null,null,1.47977907066126,2B,MQ
Martinique,Martinique,1991,Earths,null,null,null,null,null,null,1.37713177932035,2B,MQ
Martinique,Martinique,1992,Earths,null,null,null,null,null,null,1.45039168047387,2B,MQ
Martinique,Martinique,1993,Earths,null,null,null,null,null,null,1.4564536294341,2B,MQ
Martinique,Martinique,1994,Earths,null,null,null,null,null,null,1.52284707268706,2B,MQ
Martinique,Martinique,1995,Earths,null,null,null,null,null,null,1.63000244783261,2B,MQ
Martinique,Martinique,1996,Earths,null,null,null,null,null,null,1.7594026685793,2B,MQ
Martinique,Martinique,1997,Earths,null,null,null,null,null,null,1.77249024302861,2B,MQ
Martinique,Martinique,1998,Earths,null,null,null,null,null,null,1.61716962831872,2B,MQ
Martinique,Martinique,1999,Earths,null,null,null,null,null,null,1.68214485074156,2B,MQ
Martinique,Martinique,2000,Earths,null,null,null,null,null,null,1.77737019715993,2B,MQ
Martinique,Martinique,2001,Earths,null,null,null,null,null,null,1.79572853435969,2B,MQ
Martinique,Martinique,2002,Earths,null,null,null,null,null,null,1.89030293801424,2B,MQ
Martinique,Martinique,2003,Earths,null,null,null,null,null,null,1.9299165623994,2B,MQ
Martinique,Martinique,2004,Earths,null,null,null,null,null,null,2.05974972549713,2B,MQ
Martinique,Martinique,2005,Earths,null,null,null,null,null,null,2.10106069644163,2B,MQ
Martinique,Martinique,2006,Earths,null,null,null,null,null,null,2.21392235726383,2B,MQ
Martinique,Martinique,2007,Earths,null,null,null,null,null,null,2.18254578383083,2B,MQ
Martinique,Martinique,2008,Earths,null,null,null,null,null,null,2.20166507833152,2B,MQ
Martinique,Martinique,2009,Earths,null,null,null,null,null,null,2.22433462690971,2B,MQ
Martinique,Martinique,2010,Earths,null,null,null,null,null,null,2.44503110893526,2B,MQ
Martinique,Martinique,2011,Earths,null,null,null,null,null,null,2.70370033165843,2B,MQ
Martinique,Martinique,2012,Earths,null,null,null,null,null,null,2.71560321370656,2B,MQ
Martinique,Martinique,2013,Earths,null,null,null,null,null,null,2.67592773716949,2B,MQ
Martinique,Martinique,2014,Earths,null,null,null,null,null,null,2.6561783239662,2B,MQ
