Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Mauritius,Mauritius,1961,Earths,null,null,null,null,null,null,0.289142950177694,2B,MU
Mauritius,Mauritius,1962,Earths,null,null,null,null,null,null,0.295588489480696,2B,MU
Mauritius,Mauritius,1963,Earths,null,null,null,null,null,null,0.323965680727445,2B,MU
Mauritius,Mauritius,1964,Earths,null,null,null,null,null,null,0.305276166582516,2B,MU
Mauritius,Mauritius,1965,Earths,null,null,null,null,null,null,0.339150087683284,2B,MU
Mauritius,Mauritius,1966,Earths,null,null,null,null,null,null,0.315487678104281,2B,MU
Mauritius,Mauritius,1967,Earths,null,null,null,null,null,null,0.368682654470828,2B,MU
Mauritius,Mauritius,1968,Earths,null,null,null,null,null,null,0.384698087608965,2B,MU
Mauritius,Mauritius,1969,Earths,null,null,null,null,null,null,0.389786778965449,2B,MU
Mauritius,Mauritius,1970,Earths,null,null,null,null,null,null,0.386970628193724,2B,MU
Mauritius,Mauritius,1971,Earths,null,null,null,null,null,null,0.384802453837432,2B,MU
Mauritius,Mauritius,1972,Earths,null,null,null,null,null,null,0.446328137764066,2B,MU
Mauritius,Mauritius,1973,Earths,null,null,null,null,null,null,0.41641528426928,2B,MU
Mauritius,Mauritius,1974,Earths,null,null,null,null,null,null,0.488750578689075,2B,MU
Mauritius,Mauritius,1975,Earths,null,null,null,null,null,null,0.488239443887225,2B,MU
Mauritius,Mauritius,1976,Earths,null,null,null,null,null,null,0.555966209633275,2B,MU
Mauritius,Mauritius,1977,Earths,null,null,null,null,null,null,0.614752695367681,2B,MU
Mauritius,Mauritius,1978,Earths,null,null,null,null,null,null,0.688920362742685,2B,MU
Mauritius,Mauritius,1979,Earths,null,null,null,null,null,null,0.675077341940701,2B,MU
Mauritius,Mauritius,1980,Earths,null,null,null,null,null,null,0.685635161646879,2B,MU
Mauritius,Mauritius,1981,Earths,null,null,null,null,null,null,0.715637122091725,2B,MU
Mauritius,Mauritius,1982,Earths,null,null,null,null,null,null,0.693170140491249,2B,MU
Mauritius,Mauritius,1983,Earths,null,null,null,null,null,null,0.688540679056891,2B,MU
Mauritius,Mauritius,1984,Earths,null,null,null,null,null,null,0.725196522776672,2B,MU
Mauritius,Mauritius,1985,Earths,null,null,null,null,null,null,0.762447714277136,2B,MU
Mauritius,Mauritius,1986,Earths,null,null,null,null,null,null,0.805027604050705,2B,MU
Mauritius,Mauritius,1987,Earths,null,null,null,null,null,null,0.884722424765013,2B,MU
Mauritius,Mauritius,1988,Earths,null,null,null,null,null,null,0.914395083172026,2B,MU
Mauritius,Mauritius,1989,Earths,null,null,null,null,null,null,1.04356572483067,2B,MU
Mauritius,Mauritius,1990,Earths,null,null,null,null,null,null,1.09932220526461,2B,MU
Mauritius,Mauritius,1991,Earths,null,null,null,null,null,null,1.19797975317953,2B,MU
Mauritius,Mauritius,1992,Earths,null,null,null,null,null,null,1.19973843644393,2B,MU
Mauritius,Mauritius,1993,Earths,null,null,null,null,null,null,1.2711009704525,2B,MU
Mauritius,Mauritius,1994,Earths,null,null,null,null,null,null,1.32620437733597,2B,MU
Mauritius,Mauritius,1995,Earths,null,null,null,null,null,null,1.30540736274223,2B,MU
Mauritius,Mauritius,1996,Earths,null,null,null,null,null,null,1.25855110422523,2B,MU
Mauritius,Mauritius,1997,Earths,null,null,null,null,null,null,1.23389618125072,2B,MU
Mauritius,Mauritius,1998,Earths,null,null,null,null,null,null,1.39087389636843,2B,MU
Mauritius,Mauritius,1999,Earths,null,null,null,null,null,null,1.34228621522136,2B,MU
Mauritius,Mauritius,2000,Earths,null,null,null,null,null,null,1.40804605137072,2B,MU
Mauritius,Mauritius,2001,Earths,null,null,null,null,null,null,1.40084433578196,2B,MU
Mauritius,Mauritius,2002,Earths,null,null,null,null,null,null,1.5766204993832,2B,MU
Mauritius,Mauritius,2003,Earths,null,null,null,null,null,null,1.51755195706027,2B,MU
Mauritius,Mauritius,2004,Earths,null,null,null,null,null,null,1.59338931266627,2B,MU
Mauritius,Mauritius,2005,Earths,null,null,null,null,null,null,1.72578162449853,2B,MU
Mauritius,Mauritius,2006,Earths,null,null,null,null,null,null,1.78727255547353,2B,MU
Mauritius,Mauritius,2007,Earths,null,null,null,null,null,null,1.73150681209205,2B,MU
Mauritius,Mauritius,2008,Earths,null,null,null,null,null,null,1.88535024849862,2B,MU
Mauritius,Mauritius,2009,Earths,null,null,null,null,null,null,1.85395291871702,2B,MU
Mauritius,Mauritius,2010,Earths,null,null,null,null,null,null,1.87429762811283,2B,MU
Mauritius,Mauritius,2011,Earths,null,null,null,null,null,null,1.92531580341799,2B,MU
Mauritius,Mauritius,2012,Earths,null,null,null,null,null,null,1.96243693102247,2B,MU
Mauritius,Mauritius,2013,Earths,null,null,null,null,null,null,1.98640250559158,2B,MU
Mauritius,Mauritius,2014,Earths,null,null,null,null,null,null,2.0778561914887,2B,MU
