Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Papua New Guinea,Papua New Guinea,1961,Earths,null,null,null,null,null,null,0.394403802922882,2A,PG
Papua New Guinea,Papua New Guinea,1962,Earths,null,null,null,null,null,null,0.40712821738154,2A,PG
Papua New Guinea,Papua New Guinea,1963,Earths,null,null,null,null,null,null,0.420290989687194,2A,PG
Papua New Guinea,Papua New Guinea,1964,Earths,null,null,null,null,null,null,0.44419279066283,2A,PG
Papua New Guinea,Papua New Guinea,1965,Earths,null,null,null,null,null,null,0.466778342448312,2A,PG
Papua New Guinea,Papua New Guinea,1966,Earths,null,null,null,null,null,null,0.49036915149793,2A,PG
Papua New Guinea,Papua New Guinea,1967,Earths,null,null,null,null,null,null,0.496261068453392,2A,PG
Papua New Guinea,Papua New Guinea,1968,Earths,null,null,null,null,null,null,0.517968269831948,2A,PG
Papua New Guinea,Papua New Guinea,1969,Earths,null,null,null,null,null,null,0.533991197030602,2A,PG
Papua New Guinea,Papua New Guinea,1970,Earths,null,null,null,null,null,null,0.566095060967315,2A,PG
Papua New Guinea,Papua New Guinea,1971,Earths,null,null,null,null,null,null,0.602635697176656,2A,PG
Papua New Guinea,Papua New Guinea,1972,Earths,null,null,null,null,null,null,0.640048791082734,2A,PG
Papua New Guinea,Papua New Guinea,1973,Earths,null,null,null,null,null,null,0.683787781201738,2A,PG
Papua New Guinea,Papua New Guinea,1974,Earths,null,null,null,null,null,null,0.732681118217938,2A,PG
Papua New Guinea,Papua New Guinea,1975,Earths,null,null,null,null,null,null,0.692805110796028,2A,PG
Papua New Guinea,Papua New Guinea,1976,Earths,null,null,null,null,null,null,0.766949204651817,2A,PG
Papua New Guinea,Papua New Guinea,1977,Earths,null,null,null,null,null,null,0.711253001612268,2A,PG
Papua New Guinea,Papua New Guinea,1978,Earths,null,null,null,null,null,null,0.776169272310586,2A,PG
Papua New Guinea,Papua New Guinea,1979,Earths,null,null,null,null,null,null,0.774415745895007,2A,PG
Papua New Guinea,Papua New Guinea,1980,Earths,null,null,null,null,null,null,0.823900648937305,2A,PG
Papua New Guinea,Papua New Guinea,1981,Earths,null,null,null,null,null,null,0.751918485849191,2A,PG
Papua New Guinea,Papua New Guinea,1982,Earths,null,null,null,null,null,null,0.734424190986077,2A,PG
Papua New Guinea,Papua New Guinea,1983,Earths,null,null,null,null,null,null,0.764791888665528,2A,PG
Papua New Guinea,Papua New Guinea,1984,Earths,null,null,null,null,null,null,0.724404281545874,2A,PG
Papua New Guinea,Papua New Guinea,1985,Earths,null,null,null,null,null,null,0.777509360196278,2A,PG
Papua New Guinea,Papua New Guinea,1986,Earths,null,null,null,null,null,null,0.739069222082431,2A,PG
Papua New Guinea,Papua New Guinea,1987,Earths,null,null,null,null,null,null,0.791687890614363,2A,PG
Papua New Guinea,Papua New Guinea,1988,Earths,null,null,null,null,null,null,0.788413434116603,2A,PG
Papua New Guinea,Papua New Guinea,1989,Earths,null,null,null,null,null,null,0.782849262152554,2A,PG
Papua New Guinea,Papua New Guinea,1990,Earths,null,null,null,null,null,null,0.809149928004001,2A,PG
Papua New Guinea,Papua New Guinea,1991,Earths,null,null,null,null,null,null,0.775807533478661,2A,PG
Papua New Guinea,Papua New Guinea,1992,Earths,null,null,null,null,null,null,0.684298905411187,2A,PG
Papua New Guinea,Papua New Guinea,1993,Earths,null,null,null,null,null,null,0.712412759611473,2A,PG
Papua New Guinea,Papua New Guinea,1994,Earths,null,null,null,null,null,null,0.639377592214536,2A,PG
Papua New Guinea,Papua New Guinea,1995,Earths,null,null,null,null,null,null,0.60110959631253,2A,PG
Papua New Guinea,Papua New Guinea,1996,Earths,null,null,null,null,null,null,0.627424081610857,2A,PG
Papua New Guinea,Papua New Guinea,1997,Earths,null,null,null,null,null,null,0.572370959489971,2A,PG
Papua New Guinea,Papua New Guinea,1998,Earths,null,null,null,null,null,null,0.746654840401814,2A,PG
Papua New Guinea,Papua New Guinea,1999,Earths,null,null,null,null,null,null,0.72223521742253,2A,PG
Papua New Guinea,Papua New Guinea,2000,Earths,null,null,null,null,null,null,0.793056412174067,2A,PG
Papua New Guinea,Papua New Guinea,2001,Earths,null,null,null,null,null,null,0.955511094618525,2A,PG
