Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Réunion,Reunion,1961,Earths,null,null,null,null,null,null,0.297746041072522,2B,RE
Réunion,Reunion,1962,Earths,null,null,null,null,null,null,0.35077490957672,2B,RE
Réunion,Reunion,1963,Earths,null,null,null,null,null,null,0.297140513700567,2B,RE
Réunion,Reunion,1964,Earths,null,null,null,null,null,null,0.286872632943162,2B,RE
Réunion,Reunion,1965,Earths,null,null,null,null,null,null,0.331960195271507,2B,RE
Réunion,Reunion,1966,Earths,null,null,null,null,null,null,0.339112511157282,2B,RE
Réunion,Reunion,1967,Earths,null,null,null,null,null,null,0.353999567967869,2B,RE
Réunion,Reunion,1968,Earths,null,null,null,null,null,null,0.343148462047179,2B,RE
Réunion,Reunion,1969,Earths,null,null,null,null,null,null,0.385375306893588,2B,RE
Réunion,Reunion,1970,Earths,null,null,null,null,null,null,0.473327123342968,2B,RE
Réunion,Reunion,1971,Earths,null,null,null,null,null,null,0.439072587198975,2B,RE
Réunion,Reunion,1972,Earths,null,null,null,null,null,null,0.482688240085829,2B,RE
Réunion,Reunion,1973,Earths,null,null,null,null,null,null,0.560249684754283,2B,RE
Réunion,Reunion,1974,Earths,null,null,null,null,null,null,0.5625765056125,2B,RE
Réunion,Reunion,1975,Earths,null,null,null,null,null,null,0.549034218304585,2B,RE
Réunion,Reunion,1976,Earths,null,null,null,null,null,null,0.678701303553041,2B,RE
Réunion,Reunion,1977,Earths,null,null,null,null,null,null,0.723701033480717,2B,RE
Réunion,Reunion,1978,Earths,null,null,null,null,null,null,0.771248193681026,2B,RE
Réunion,Reunion,1979,Earths,null,null,null,null,null,null,0.861390814027104,2B,RE
Réunion,Reunion,1980,Earths,null,null,null,null,null,null,0.708696810555851,2B,RE
Réunion,Reunion,1981,Earths,null,null,null,null,null,null,0.75411983539638,2B,RE
Réunion,Reunion,1982,Earths,null,null,null,null,null,null,0.774105255709024,2B,RE
Réunion,Reunion,1983,Earths,null,null,null,null,null,null,0.823245762214311,2B,RE
Réunion,Reunion,1984,Earths,null,null,null,null,null,null,0.820068999696319,2B,RE
Réunion,Reunion,1985,Earths,null,null,null,null,null,null,0.856654196489881,2B,RE
Réunion,Reunion,1986,Earths,null,null,null,null,null,null,0.936255620640992,2B,RE
Réunion,Reunion,1987,Earths,null,null,null,null,null,null,1.01145836737386,2B,RE
Réunion,Reunion,1988,Earths,null,null,null,null,null,null,1.15786265570434,2B,RE
Réunion,Reunion,1989,Earths,null,null,null,null,null,null,1.22003045675688,2B,RE
Réunion,Reunion,1990,Earths,null,null,null,null,null,null,1.16581740473526,2B,RE
Réunion,Reunion,1991,Earths,null,null,null,null,null,null,1.31120320789696,2B,RE
Réunion,Reunion,1992,Earths,null,null,null,null,null,null,1.46780846267213,2B,RE
Réunion,Reunion,1993,Earths,null,null,null,null,null,null,1.35712123490796,2B,RE
Réunion,Reunion,1994,Earths,null,null,null,null,null,null,1.34615033783866,2B,RE
Réunion,Reunion,1995,Earths,null,null,null,null,null,null,1.34518412921621,2B,RE
Réunion,Reunion,1996,Earths,null,null,null,null,null,null,1.44082503552738,2B,RE
Réunion,Reunion,1997,Earths,null,null,null,null,null,null,1.50212841849833,2B,RE
Réunion,Reunion,1998,Earths,null,null,null,null,null,null,1.58091920193207,2B,RE
Réunion,Reunion,1999,Earths,null,null,null,null,null,null,1.5860182518616,2B,RE
Réunion,Reunion,2000,Earths,null,null,null,null,null,null,1.66275823952207,2B,RE
Réunion,Reunion,2001,Earths,null,null,null,null,null,null,1.71427477638378,2B,RE
Réunion,Reunion,2002,Earths,null,null,null,null,null,null,1.69382122054423,2B,RE
Réunion,Reunion,2003,Earths,null,null,null,null,null,null,1.74813628114519,2B,RE
Réunion,Reunion,2004,Earths,null,null,null,null,null,null,1.77720374680963,2B,RE
Réunion,Reunion,2005,Earths,null,null,null,null,null,null,1.98008550339882,2B,RE
Réunion,Reunion,2006,Earths,null,null,null,null,null,null,2.17109973489181,2B,RE
Réunion,Reunion,2007,Earths,null,null,null,null,null,null,2.37771858303089,2B,RE
Réunion,Reunion,2008,Earths,null,null,null,null,null,null,2.35700910653067,2B,RE
Réunion,Reunion,2009,Earths,null,null,null,null,null,null,2.59191879559065,2B,RE
Réunion,Reunion,2010,Earths,null,null,null,null,null,null,2.69100624206744,2B,RE
Réunion,Reunion,2011,Earths,null,null,null,null,null,null,2.75635447436763,2B,RE
Réunion,Reunion,2012,Earths,null,null,null,null,null,null,2.73695389991335,2B,RE
Réunion,Reunion,2013,Earths,null,null,null,null,null,null,2.77846901823781,2B,RE
Réunion,Reunion,2014,Earths,null,null,null,null,null,null,3.23028017084565,2B,RE
