Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Saint Lucia,St. Lucia,1961,Earths,0.000778338868456792,0.093102340815646,0.0877698833160763,0.01627689896642,0.00907253231529749,0.0179102114257865,0.224910205707683,3A,LC
Saint Lucia,St. Lucia,1962,Earths,0.000844313351287009,0.0943858762331233,0.0965936017629137,0.0160216664606874,0.00919974717779606,0.0214079112974324,0.23845311628324,3A,LC
Saint Lucia,St. Lucia,1963,Earths,0.000806226483243159,0.113023594225736,0.0927022282354081,0.0165181995547571,0.00936431305668266,0.0204399021399958,0.252854463695823,3A,LC
Saint Lucia,St. Lucia,1964,Earths,0.000858558245328148,0.105163318634715,0.0992286410818405,0.0158663916883628,0.00948626897858352,0.0244451535755198,0.255048332204349,3A,LC
Saint Lucia,St. Lucia,1965,Earths,0.00102526957533546,0.127043683497323,0.108032424870086,0.0168523700494447,0.00964376600144693,0.0276985649270298,0.290296078920666,3A,LC
Saint Lucia,St. Lucia,1966,Earths,0.00109120962084616,0.129796341456151,0.109240010968142,0.0175732571464069,0.00972255803700663,0.0294469370440565,0.296870314272609,3A,LC
Saint Lucia,St. Lucia,1967,Earths,0.00110105480111423,0.146890142925229,0.119235153192034,0.0184289081958926,0.00984371151980991,0.0354591873464596,0.330958157980539,3A,LC
Saint Lucia,St. Lucia,1968,Earths,0.00114093335815148,0.174850626169811,0.122583292166203,0.0197897602849436,0.00996911447782152,0.0331723378708493,0.36150606432778,3A,LC
Saint Lucia,St. Lucia,1969,Earths,0.00120565138023772,0.211648818754643,0.132285003743241,0.0200678419397026,0.0101242040250619,0.0403353247708023,0.415666844613688,3A,LC
Saint Lucia,St. Lucia,1970,Earths,0.00113014571836588,0.234421177864857,0.14756879801534,0.0318535467606092,0.010264181482719,0.0638058738663129,0.489043723708205,3A,LC
Saint Lucia,St. Lucia,1971,Earths,0.00103672741238784,0.232706157282637,0.149964073688479,0.0324678712116428,0.0105017857927366,0.0495903632881727,0.476266978676055,3A,LC
Saint Lucia,St. Lucia,1972,Earths,0.00105948132977915,0.26341974055936,0.139742212933937,0.0350467709595313,0.0109007869928424,0.057993408980194,0.508162401755646,3A,LC
Saint Lucia,St. Lucia,1973,Earths,0.00117482977420434,0.299226873869258,0.147988163732625,0.037016503759924,0.0113008082910592,0.0566033913395042,0.553310570766576,3A,LC
Saint Lucia,St. Lucia,1974,Earths,0.00115382393294708,0.26388529145157,0.142994152349288,0.037867496331333,0.0118674302203588,0.046666383835939,0.504434578121435,3A,LC
Saint Lucia,St. Lucia,1975,Earths,0.00105837746169127,0.24434458694685,0.142721059496229,0.0403198178893346,0.0118734536537155,0.0669108433826097,0.507228138830429,3A,LC
Saint Lucia,St. Lucia,1976,Earths,0.0010507337934123,0.270032356091091,0.138859388440262,0.0430422652382029,0.011893661609146,0.0690572651151297,0.533935670287242,3A,LC
Saint Lucia,St. Lucia,1977,Earths,0.00108901186844558,0.273665114308873,0.156794657887675,0.0433922331848049,0.0121153010422791,0.0780472190631736,0.56510353735525,3A,LC
Saint Lucia,St. Lucia,1978,Earths,0.00129195371222033,0.3818054099037,0.205367178799279,0.0632171078949748,0.011730529424706,0.0824316567327637,0.745843836467644,3A,LC
Saint Lucia,St. Lucia,1979,Earths,0.00136843846699475,0.469887159464238,0.210536002959835,0.0346407562941938,0.011689420025185,0.0821950703841777,0.810316847594626,3A,LC
Saint Lucia,St. Lucia,1980,Earths,0.00126567708339096,0.330877130629787,0.175768740642959,0.0463177516743328,0.0120157979550272,0.0455095157225907,0.611754613708088,3A,LC
Saint Lucia,St. Lucia,1981,Earths,0.000944062231287388,0.328026480403151,0.172762070007565,0.0467884277299244,0.0121656448295362,0.0496562765211019,0.610342961722566,3A,LC
Saint Lucia,St. Lucia,1982,Earths,0.00115708958104617,0.326370391425079,0.190429317218884,0.0414493351832252,0.0121693825693678,0.0566769809352837,0.628252496912887,3A,LC
Saint Lucia,St. Lucia,1983,Earths,0.00128468762403184,0.270552930854704,0.213236526365652,0.0473803393705103,0.0124414249540527,0.0537615112737524,0.598657420442704,3A,LC
Saint Lucia,St. Lucia,1984,Earths,0.00135246996217708,0.328467484893728,0.202370508450697,0.0491260526453276,0.0124830164693319,0.0674050204794451,0.661204552900707,3A,LC
Saint Lucia,St. Lucia,1985,Earths,0.00140185327617013,0.393632260850388,0.240005048857808,0.0477551573670643,0.0124949951959821,0.0772481879392387,0.772537503486651,3A,LC
Saint Lucia,St. Lucia,1986,Earths,0.00157110548440093,0.452797953957492,0.231368533683259,0.0491355217533484,0.0122680070722777,0.0875744225347178,0.834715544485496,3A,LC
Saint Lucia,St. Lucia,1987,Earths,0.00157211442680732,0.495488568194464,0.27007799027402,0.0489894901438829,0.0123825604447625,0.0886519350046359,0.917162658488575,3A,LC
Saint Lucia,St. Lucia,1988,Earths,0.00183791324652781,0.580812589961194,0.249950561444306,0.0498027387764227,0.0123361406698945,0.0859529293068253,0.980692873405169,3A,LC
Saint Lucia,St. Lucia,1989,Earths,0.00177711779669477,0.751785864333268,0.285102760113125,0.0543844882887713,0.0121453921115626,0.120004543744212,1.22520016638763,3A,LC
Saint Lucia,St. Lucia,1990,Earths,0.00198443223338065,0.648076521466275,0.256739797701424,0.0672682470301036,0.0126769386273033,0.127396052282864,1.11414198934135,3A,LC
Saint Lucia,St. Lucia,1991,Earths,0.00183473167109707,0.646168762300276,0.292375947155166,0.0779554748239817,0.0154214681744047,0.142872235521164,1.17662861964609,3A,LC
Saint Lucia,St. Lucia,1992,Earths,0.00195312145472582,0.694806362028078,0.285347152679071,0.0777787392560349,0.190833146066368,0.152596128046126,1.4033146495304,3A,LC
Saint Lucia,St. Lucia,1993,Earths,0.00199673490672459,0.656899654856889,0.288389503991756,0.082227080961604,0.167502881154169,0.149064983528037,1.34608083939918,3A,LC
Saint Lucia,St. Lucia,1994,Earths,0.00161001745915375,0.783977635188801,0.318146899628666,0.100678392890742,0.170469227736372,0.172434714398277,1.54731688730201,3A,LC
Saint Lucia,St. Lucia,1995,Earths,0.00191041931359094,0.82058459756866,0.32878365735602,0.0981927814203061,0.171198015528228,0.161865692719347,1.58253516390615,3A,LC
Saint Lucia,St. Lucia,1996,Earths,0.00195960610456885,0.865023652265649,0.291452335074155,0.120262868120339,0.169251025834994,0.167847668851512,1.61579715625122,3A,LC
Saint Lucia,St. Lucia,1997,Earths,0.00196332893707308,0.816069724346039,0.347067808003642,0.125968373364678,0.16847544780385,0.146529711856692,1.60607439431197,3A,LC
Saint Lucia,St. Lucia,1998,Earths,0.00182291400894557,0.871211966929173,0.32639122826961,0.145280315610609,0.167323495622469,0.167298088041334,1.67932800848214,3A,LC
Saint Lucia,St. Lucia,1999,Earths,0.00160834092929586,0.92650944281216,0.295897809771808,0.161586883470332,0.166763398818961,0.140201361280963,1.69256723708352,3A,LC
Saint Lucia,St. Lucia,2000,Earths,0.00144275563920876,0.878021962787665,0.32754291911401,0.159892026843786,0.167372757286419,0.163672984428239,1.69794540609933,3A,LC
Saint Lucia,St. Lucia,2001,Earths,0.0012846564177457,0.807602023318204,0.281538577835834,0.141880926048031,0.166647331323548,0.104148477751917,1.50310199269528,3A,LC
