Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Sao Tome and Principe,Sao Tome and Principe,1961,Earths,null,null,null,null,null,null,0.225955833172226,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1962,Earths,null,null,null,null,null,null,0.229089442635068,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1963,Earths,null,null,null,null,null,null,0.223594113383322,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1964,Earths,null,null,null,null,null,null,0.297370201614052,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1965,Earths,null,null,null,null,null,null,0.289611644562277,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1966,Earths,null,null,null,null,null,null,0.306415415032474,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1967,Earths,null,null,null,null,null,null,0.279856028443717,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1968,Earths,null,null,null,null,null,null,0.287962176435588,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1969,Earths,null,null,null,null,null,null,0.332064514511969,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1970,Earths,null,null,null,null,null,null,0.311856089770786,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1971,Earths,null,null,null,null,null,null,0.3403672667119,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1972,Earths,null,null,null,null,null,null,0.260019011458762,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1973,Earths,null,null,null,null,null,null,0.293893577266671,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1974,Earths,null,null,null,null,null,null,0.321682617245719,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1975,Earths,null,null,null,null,null,null,0.383288955032898,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1976,Earths,null,null,null,null,null,null,0.366583742812861,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1977,Earths,null,null,null,null,null,null,0.339839372121676,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1978,Earths,null,null,null,null,null,null,0.390194979172426,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1979,Earths,null,null,null,null,null,null,0.357497183377403,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1980,Earths,null,null,null,null,null,null,0.390795548817987,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1981,Earths,null,null,null,null,null,null,0.525492804355451,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1982,Earths,null,null,null,null,null,null,0.496703867189634,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1983,Earths,null,null,null,null,null,null,0.56234229110626,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1984,Earths,null,null,null,null,null,null,0.528332956257968,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1985,Earths,null,null,null,null,null,null,0.543637132509719,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1986,Earths,null,null,null,null,null,null,0.478587833231983,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1987,Earths,null,null,null,null,null,null,0.550832218047095,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1988,Earths,null,null,null,null,null,null,0.538784655826825,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1989,Earths,null,null,null,null,null,null,0.648001171294036,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1990,Earths,null,null,null,null,null,null,0.566428682880466,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1991,Earths,null,null,null,null,null,null,0.53260444326756,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1992,Earths,null,null,null,null,null,null,0.564149495075344,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1993,Earths,null,null,null,null,null,null,0.620893556707108,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1994,Earths,null,null,null,null,null,null,0.653213843546136,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1995,Earths,null,null,null,null,null,null,0.623017022253629,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1996,Earths,null,null,null,null,null,null,0.64416337794523,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1997,Earths,null,null,null,null,null,null,0.651484396259891,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1998,Earths,null,null,null,null,null,null,0.718529405579124,2B,ST
Sao Tome and Principe,Sao Tome and Principe,1999,Earths,null,null,null,null,null,null,0.710718127072804,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2000,Earths,null,null,null,null,null,null,0.70028966782458,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2001,Earths,null,null,null,null,null,null,0.77709781057576,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2002,Earths,null,null,null,null,null,null,0.790024915491213,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2003,Earths,null,null,null,null,null,null,0.828162941661407,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2004,Earths,null,null,null,null,null,null,0.830726951214239,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2005,Earths,null,null,null,null,null,null,0.802789794008864,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2006,Earths,null,null,null,null,null,null,0.83355625657614,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2007,Earths,null,null,null,null,null,null,0.903504544314344,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2008,Earths,null,null,null,null,null,null,0.920078725415573,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2009,Earths,null,null,null,null,null,null,0.960273449987166,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2010,Earths,null,null,null,null,null,null,0.962398964835111,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2011,Earths,null,null,null,null,null,null,0.98141773985083,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2012,Earths,null,null,null,null,null,null,0.971118426384697,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2013,Earths,null,null,null,null,null,null,1.02278219401316,2B,ST
Sao Tome and Principe,Sao Tome and Principe,2014,Earths,null,null,null,null,null,null,1.06167677443914,2B,ST
