Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
United Kingdom,United Kingdom,1961,Earths,0.0217445088649238,1.22695020096551,0.256977131989946,0.126605402305711,0.0951260798042134,0.240300768371231,1.96770409230154,3A,GB
United Kingdom,United Kingdom,1962,Earths,0.0246590709886538,1.28018763783937,0.274751345171302,0.133469758498034,0.0938809805993227,0.24409444039932,2.051043233496,3A,GB
United Kingdom,United Kingdom,1963,Earths,0.0248317875759528,1.35682128082338,0.271296013822893,0.133404662413007,0.101192654864641,0.252873783645146,2.14042018314502,3A,GB
United Kingdom,United Kingdom,1964,Earths,0.0265325408420863,1.40659737882869,0.278469840842056,0.131325854719273,0.118706035704617,0.249115875131457,2.21074752606818,3A,GB
United Kingdom,United Kingdom,1965,Earths,0.0296215356670848,1.47563991173895,0.288469553174918,0.141639070318617,0.116596427210374,0.236083516779093,2.28805001488903,3A,GB
United Kingdom,United Kingdom,1966,Earths,0.0281298398524766,1.46176424272941,0.272408794691098,0.142274266466866,0.110725072614469,0.232761062386845,2.24806327874116,3A,GB
United Kingdom,United Kingdom,1967,Earths,0.032300004254571,1.48168859815157,0.287526453076574,0.145450232267662,0.116582597966853,0.236397794290573,2.2999456800078,3A,GB
United Kingdom,United Kingdom,1968,Earths,0.0291240271205652,1.53002665057216,0.280745814550011,0.154565666410894,0.169394781643126,0.239982479445318,2.40383941974208,3A,GB
United Kingdom,United Kingdom,1969,Earths,0.0322540930773943,1.6184499424651,0.306737668292721,0.155943621821272,0.166766512008931,0.244338551368632,2.52449038903405,3A,GB
United Kingdom,United Kingdom,1970,Earths,0.032178417086277,1.71861159674312,0.308575338306005,0.152099511790746,0.173676541163771,0.22380852538438,2.6089499304743,3A,GB
United Kingdom,United Kingdom,1971,Earths,0.0348099094207093,1.72477832620332,0.307903655859762,0.147919524983304,0.164687675176046,0.205534827898487,2.58563391954163,3A,GB
United Kingdom,United Kingdom,1972,Earths,0.0365129913388681,1.71871879144735,0.31502585078354,0.150713228476546,0.182657171577125,0.230496827001131,2.63412486062456,3A,GB
United Kingdom,United Kingdom,1973,Earths,0.0363171941344639,1.83865765990661,0.30671682901402,0.147786413709335,0.201155665364707,0.19680641448715,2.72744017661628,3A,GB
United Kingdom,United Kingdom,1974,Earths,0.0391138029629901,1.73146931571211,0.309345107695944,0.144867137428999,0.196775793138764,0.18623138881166,2.60780254575047,3A,GB
United Kingdom,United Kingdom,1975,Earths,0.0359410537613875,1.64086986328488,0.278483620735959,0.135568915902569,0.154146005391254,0.189591355758338,2.43460081483439,3A,GB
United Kingdom,United Kingdom,1976,Earths,0.0326418351450524,1.70945354892945,0.288720738291774,0.134189539112144,0.179889163832281,0.201856945788847,2.54675177109955,3A,GB
United Kingdom,United Kingdom,1977,Earths,0.0427516050931961,1.71608853361331,0.32306513932006,0.115463325904894,0.179676044979243,0.191780826016207,2.56882547492691,3A,GB
United Kingdom,United Kingdom,1978,Earths,0.0420208950067608,1.71696587349388,0.294237498951486,0.0999330590676311,0.187142812736206,0.206421123897588,2.54672126315355,3A,GB
United Kingdom,United Kingdom,1979,Earths,0.0463069301988997,1.86504343428189,0.317793049269827,0.0921047510571626,0.20606469850141,0.189528129509067,2.71684099281826,3A,GB
