Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Uruguay,Uruguay,1961,Earths,null,null,null,null,null,null,1.4665810275861,2A,UY
Uruguay,Uruguay,1962,Earths,null,null,null,null,null,null,1.65363346144806,2A,UY
Uruguay,Uruguay,1963,Earths,null,null,null,null,null,null,1.61693975456453,2A,UY
Uruguay,Uruguay,1964,Earths,null,null,null,null,null,null,1.72996653414766,2A,UY
Uruguay,Uruguay,1965,Earths,null,null,null,null,null,null,1.52065336548113,2A,UY
Uruguay,Uruguay,1966,Earths,null,null,null,null,null,null,1.70019650809598,2A,UY
Uruguay,Uruguay,1967,Earths,null,null,null,null,null,null,1.67992451225125,2A,UY
Uruguay,Uruguay,1968,Earths,null,null,null,null,null,null,1.55427668035402,2A,UY
Uruguay,Uruguay,1969,Earths,null,null,null,null,null,null,1.71783016173601,2A,UY
Uruguay,Uruguay,1970,Earths,null,null,null,null,null,null,1.51262996019273,2A,UY
Uruguay,Uruguay,1971,Earths,null,null,null,null,null,null,1.6598758314089,2A,UY
Uruguay,Uruguay,1972,Earths,null,null,null,null,null,null,1.94593335259591,2A,UY
Uruguay,Uruguay,1973,Earths,null,null,null,null,null,null,2.15000929673331,2A,UY
Uruguay,Uruguay,1974,Earths,null,null,null,null,null,null,2.24824011663705,2A,UY
Uruguay,Uruguay,1975,Earths,null,null,null,null,null,null,2.36668944453429,2A,UY
Uruguay,Uruguay,1976,Earths,null,null,null,null,null,null,2.02752748744358,2A,UY
Uruguay,Uruguay,1977,Earths,null,null,null,null,null,null,2.1728900819317,2A,UY
Uruguay,Uruguay,1978,Earths,null,null,null,null,null,null,2.23705336185076,2A,UY
Uruguay,Uruguay,1979,Earths,null,null,null,null,null,null,2.79289081459217,2A,UY
Uruguay,Uruguay,1980,Earths,null,null,null,null,null,null,2.45362064877027,2A,UY
Uruguay,Uruguay,1981,Earths,null,null,null,null,null,null,2.21411325066167,2A,UY
Uruguay,Uruguay,1982,Earths,null,null,null,null,null,null,2.12230664787787,2A,UY
Uruguay,Uruguay,1983,Earths,null,null,null,null,null,null,1.6547098666275,2A,UY
Uruguay,Uruguay,1984,Earths,null,null,null,null,null,null,2.08551074341037,2A,UY
Uruguay,Uruguay,1985,Earths,null,null,null,null,null,null,2.21338217586837,2A,UY
Uruguay,Uruguay,1986,Earths,null,null,null,null,null,null,1.93948972035536,2A,UY
Uruguay,Uruguay,1987,Earths,null,null,null,null,null,null,2.53916357271251,2A,UY
Uruguay,Uruguay,1988,Earths,null,null,null,null,null,null,2.50346677604521,2A,UY
Uruguay,Uruguay,1989,Earths,null,null,null,null,null,null,2.20035351900586,2A,UY
Uruguay,Uruguay,1990,Earths,null,null,null,null,null,null,1.74839629708155,2A,UY
Uruguay,Uruguay,1991,Earths,null,null,null,null,null,null,2.35643275286664,2A,UY
Uruguay,Uruguay,1992,Earths,null,null,null,null,null,null,2.55428786999077,2A,UY
Uruguay,Uruguay,1993,Earths,null,null,null,null,null,null,2.67870011726899,2A,UY
Uruguay,Uruguay,1994,Earths,null,null,null,null,null,null,2.60769871389479,2A,UY
Uruguay,Uruguay,1995,Earths,null,null,null,null,null,null,2.79401610924686,2A,UY
Uruguay,Uruguay,1996,Earths,null,null,null,null,null,null,2.6375207395644,2A,UY
Uruguay,Uruguay,1997,Earths,null,null,null,null,null,null,2.20693373256194,2A,UY
Uruguay,Uruguay,1998,Earths,null,null,null,null,null,null,2.31372746649354,2A,UY
Uruguay,Uruguay,1999,Earths,null,null,null,null,null,null,2.41784516979066,2A,UY
Uruguay,Uruguay,2000,Earths,null,null,null,null,null,null,2.01318941520366,2A,UY
Uruguay,Uruguay,2001,Earths,null,null,null,null,null,null,2.32686839650852,2A,UY
Uruguay,Uruguay,2002,Earths,null,null,null,null,null,null,2.21824093322629,2A,UY
Uruguay,Uruguay,2003,Earths,null,null,null,null,null,null,2.16128344874299,2A,UY
Uruguay,Uruguay,2004,Earths,null,null,null,null,null,null,2.14708545399372,2A,UY
Uruguay,Uruguay,2005,Earths,null,null,null,null,null,null,1.84043004840686,2A,UY
Uruguay,Uruguay,2006,Earths,null,null,null,null,null,null,1.84990256364437,2A,UY
Uruguay,Uruguay,2007,Earths,null,null,null,null,null,null,2.11854024071568,2A,UY
Uruguay,Uruguay,2008,Earths,null,null,null,null,null,null,2.45762664954752,2A,UY
Uruguay,Uruguay,2009,Earths,null,null,null,null,null,null,1.99428198933514,2A,UY
Uruguay,Uruguay,2010,Earths,null,null,null,null,null,null,1.96260679987923,2A,UY
Uruguay,Uruguay,2011,Earths,null,null,null,null,null,null,2.37276884091084,2A,UY
Uruguay,Uruguay,2012,Earths,null,null,null,null,null,null,1.60559348002834,2A,UY
Uruguay,Uruguay,2013,Earths,null,null,null,null,null,null,1.9522227272406,2A,UY
Uruguay,Uruguay,2014,Earths,0.0866145398388986,0.474264394806669,0.140439525717212,0.032272451183978,0.23194988313975,0.806816810553364,1.77235760523987,2A,UY
