Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Venezuela, Bolivarian Republic of,Venezuela,1961,Earths,0.00390518956751704,0.0869054337212442,0.0967616803533756,0.0260674285485968,0.0407581815225411,0.374497434280342,0.628895347993616,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1962,Earths,0.0043318437289931,0.10663997963849,0.0963614702125077,0.0278890151154144,0.040013333894362,0.363501283957075,0.638736926546844,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1963,Earths,0.00448516471644474,0.157819586654151,0.0937258041882002,0.0282759981512574,0.0382963043025423,0.364217847089868,0.686820705102465,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1964,Earths,0.00494953688767887,0,0.112693179069695,0.029590407877435,0.0402306426759153,0.364665612850305,0.552129379361028,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1965,Earths,0.00544636885236361,0.17490397741371,0.10983012460108,0.030862917817544,0.0416996019455716,0.364892103719425,0.727635094349693,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1966,Earths,0.00611342533152219,0.122335030693911,0.106626187755886,0.032844981798831,0.0421455359085937,0.361266422205387,0.671331583694131,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1967,Earths,0.00668758632642607,0.181008413247971,0.119052583191233,0.0323478443965753,0.0414128739327257,0.363151808355563,0.743661109450495,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1968,Earths,0.00695261632469019,0.163742494332233,0.125239245191206,0.0347294363145979,0.0556822008024076,0.366734875371051,0.753080868336186,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1969,Earths,0.0072559922582921,0.208079337201473,0.123882886589356,0.034022837582982,0.0566785018725529,0.371587789423504,0.80150734492816,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1970,Earths,0.00833132486668424,0.24267222784331,0.132896076640794,0.0317106799796426,0.061597587591454,0.369915616062476,0.84712351298436,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1971,Earths,0.00787876087143042,0.146815612308882,0.130200069643687,0.0382144869311435,0.0550173394970763,0.369782537463962,0.747908806716181,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1972,Earths,0.00688164670710854,0.192880945850318,0.122655361757116,0.0409397617846905,0.0609490570922281,0.379529717063754,0.803836490255217,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1973,Earths,0.00781307214110469,0.228812119680245,0.135383401846932,0.0411393522866632,0.058091726342616,0.381836083090131,0.853075755387693,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1974,Earths,0.00804355072173756,0.395973879682264,0.140295934215992,0.0365041242559073,0.0630534495991968,0.395191668186253,1.03906260666135,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1975,Earths,0.00866790983940361,0.490293490755665,0.159798181138733,0.0357596933630612,0.06211450922518,0.396947055761291,1.15358084008333,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1976,Earths,0.00784019693960482,0.563344482573536,0.163697336963883,0.037298102339874,0.0726845231438776,0.416132479782577,1.26099712174335,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1977,Earths,0.0101810021672561,0.673243584768822,0.214296325641694,0.0387774528360532,0.0752733956479663,0.421945104247686,1.43371686530948,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1978,Earths,0.00992545162862486,0.731284908143637,0.204590080908908,0.0404179075740691,0.0755779303162826,0.421605254782871,1.48340153335439,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1979,Earths,0.0100213894615047,0.738091977693909,0.190350802591403,0.0401362320446226,0.0760141493347343,0.421298903635742,1.47591345476192,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1980,Earths,0.0101679843509368,0.800086222727683,0.19987826460579,0.0507555502674176,0.0773899697522907,0.415670478072685,1.5539484697768,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1981,Earths,0.00969000666214257,0.808665501957826,0.208792182707654,0.052213610822704,0.0758835835131947,0.424147084292936,1.57939196995646,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1982,Earths,0.0104022278451564,0.837157717210852,0.203214747212729,0.0550668010112487,0.0725587755885188,0.432857116981912,1.61125738585042,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1983,Earths,0.0106809993527784,0.751725657927241,0.185845817702865,0.0686855135783583,0.0760312623549658,0.414654489994529,1.50762374091074,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1984,Earths,0.0107361605216738,0.740944893480213,0.198257850690098,0.0672344236772014,0.0702860342980382,0.405712835257192,1.49317219792442,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1985,Earths,0.0118794984149724,0.719208939398832,0.211159471375445,0.0644704042658672,0.0716490670855583,0.399767799797994,1.47813518033867,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1986,Earths,0.0138341573391244,0.707610339034049,0.18964394563338,0.0653904644010945,0.0721568416535176,0.402061595886271,1.45069734394744,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1987,Earths,0.0147513835681643,0.713920116150954,0.229820376188985,0.0688273648099151,0.0821240336440562,0.416851369644377,1.52629464400645,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1988,Earths,0.0161396102657518,0.742810485765298,0.270721762492478,0.0694125685370563,0.0849884277453216,0.419655105207489,1.60372796001339,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1989,Earths,0.0160505815307713,0.706894361232792,0.188021388649303,0.0752293549101197,0.0673422531913266,0.412688599290492,1.4662265388048,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1990,Earths,0.015516691805412,0.706832899420175,0.166902521943215,0.0775666042678699,0.0662219805513789,0.417231782930333,1.45027248091838,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1991,Earths,0.0163274352767154,0.73173696682267,0.190645479416232,0.0768484135368022,0.0680556216944923,0.433026152090515,1.51664006883742,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1992,Earths,0.0155817649203651,0.74532133446211,0.190007029317382,0.0772390331538827,0.0908718198076488,0.423719191387855,1.54274017304924,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1993,Earths,0.0158773533185021,0.73179934120587,0.183664865178488,0.0896084532956845,0.0749189442096793,0.411333639997932,1.50720259720616,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1994,Earths,0.0158899762616061,0.709706367599573,0.160747626987538,0.0901856350243004,0.0683887232037884,0.399421407857186,1.44433973693399,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1995,Earths,0.0165903062255271,0.742667798918608,0.179674608172519,0.0904737759716206,0.0703884957608054,0.408583361477916,1.508378346527,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1996,Earths,0.0166391209546218,0.728700428477543,0.158863941149552,0.0916376569278178,0.0669897284658882,0.394985242133598,1.45781611810902,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1997,Earths,0.017495608062327,0.797822333836333,0.167576465484814,0.0949870550256148,0.0657491550661052,0.393042651798627,1.53667326927382,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1998,Earths,0.0178321199142569,0.793063222740325,0.178049689804884,0.101866137423943,0.0648095408634081,0.395571456883439,1.55119216763026,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,1999,Earths,0.0184968257823398,0.692772528910285,0.17814488990644,0.0933662625650927,0.0751661111216712,0.38674400468107,1.44469062296689,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2000,Earths,0.0209441632307835,0.754310912023692,0.201839769154571,0.0904632174889307,0.0659823198778845,0.381361964364493,1.51490234614036,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2001,Earths,0.0213358553137574,0.791385314658834,0.205830799709889,0.111942404089872,0.0706733267908135,0.380642630387973,1.58181033095114,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2002,Earths,0.0189707841169865,0.714594535847472,0.166018225900626,0.103060634567184,0.0718250827236203,0.379879154389602,1.45434841754549,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2003,Earths,0.020662670294339,0.739577211615559,0.188546560272656,0.102701442226705,0.0599401847968701,0.377577167439242,1.48900523664537,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2004,Earths,0.0222503838523751,0.754620295027314,0.212843629261413,0.0932360471646037,0.0698731407259622,0.396842915661145,1.54966641169282,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2005,Earths,0.023005003897442,0.843665668141526,0.19058907344128,0.0747572653536676,0.071420115394735,0.376234045418077,1.57967117164673,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2006,Earths,0.0234535565667072,0.92045293961131,0.209153528081054,0.0759385826263396,0.0786746592653965,0.385629811479288,1.6933030776301,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2007,Earths,0.0234257120748555,0.919265138071024,0.254726193751417,0.0683032742805785,0.0812816470079878,0.430495288960484,1.77749725414635,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2008,Earths,0.0232548297284618,1.21445901548142,0.301109271130154,0.066831543261973,0.0975637721537864,0.479535490404964,2.18275392216076,3A,VE
Venezuela, Bolivarian Republic of,Venezuela,2009,Earths,0.0234734057692985,1.23247588814086,0.281276656203487,0.0736205079844123,0.0936656790405035,0.469578062492097,2.17409019963066,3A,VE
