Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Viet Nam,Viet Nam,1961,Earths,0.0102178165906158,0.0239712679864844,0.086456560378346,0.00671870341475294,0.0734337049423834,0.00413140412714331,0.204929457439726,3A,VN
Viet Nam,Viet Nam,1962,Earths,0.0112694966553455,0.026996996982013,0.0960307407965527,0.00761089617381013,0.0732392197752189,0.00273478831078555,0.217882138693726,3A,VN
Viet Nam,Viet Nam,1963,Earths,0.0105911486413034,0.0284930475620448,0.0899820552205803,0.00877839283872111,0.0741838331246822,0.00402598573773989,0.216054463125071,3A,VN
Viet Nam,Viet Nam,1964,Earths,0.0108802684452459,0.0340378368502419,0.0901397642007509,0.00878718198473111,0.0750217093534808,0.00405173077669325,0.222918491611144,3A,VN
Viet Nam,Viet Nam,1965,Earths,0.011232247235235,0.0378180356483227,0.0907499615592668,0.00902240900342249,0.075929380277883,0.00398243671559183,0.228734470439722,3A,VN
Viet Nam,Viet Nam,1966,Earths,0.0108102150098259,0.0532644579483153,0.0916422278469033,0.00889111147304707,0.0758412324498561,0.00431425408267523,0.244763498810623,3A,VN
Viet Nam,Viet Nam,1967,Earths,0.0113888935767378,0.0605953683478005,0.0967782825899013,0.00952614310590851,0.0749509488186892,0.00383973680208998,0.257079373241127,3A,VN
Viet Nam,Viet Nam,1968,Earths,0.0107431143746147,0.0606293861777095,0.0927898877216281,0.0103728736784807,0.0764348099876797,0.00417707496608809,0.255147146906201,3A,VN
Viet Nam,Viet Nam,1969,Earths,0.0114876322480253,0.0731190913746706,0.0959896788931476,0.0102172860079145,0.0788916488163827,0.00560469479015364,0.275310032130294,3A,VN
Viet Nam,Viet Nam,1970,Earths,0.0127593716154672,0.0762687423805214,0.107735218002874,0.00844202326054666,0.0783860934358025,0.00450767382535177,0.288099122520564,3A,VN
Viet Nam,Viet Nam,1971,Earths,0.0137252249254033,0.0646992789861151,0.104958217690079,0.00910624730898186,0.0803697734149609,0.00364259195842678,0.276501334283967,3A,VN
Viet Nam,Viet Nam,1972,Earths,0.014235644654317,0.0664445907232388,0.107199663074693,0.00968993087708686,0.0831888599746147,0.0020427581913172,0.282801447495267,3A,VN
Viet Nam,Viet Nam,1973,Earths,0.0144471420056144,0.0704658020529968,0.106623280120739,0.00997764966568773,0.0830322888594487,0.00184805394028152,0.286394216644768,3A,VN
Viet Nam,Viet Nam,1974,Earths,0.0144057526348011,0.0611900549793575,0.106300129057161,0.00664871937973522,0.0840303297487939,0.00328780231277486,0.275862788112624,3A,VN
Viet Nam,Viet Nam,1975,Earths,0.0133730072737415,0.0709244603455275,0.0905095754660878,0.00620634553010368,0.0846214353646094,0.000563122258573011,0.266197946238643,3A,VN
Viet Nam,Viet Nam,1976,Earths,0.0162751533511547,0.0551797243471969,0.106960606164858,0.00694594418089667,0.0868857062620061,0.000576811371745294,0.272823945677857,3A,VN
Viet Nam,Viet Nam,1977,Earths,0.0148344159199385,0.0590468557505938,0.102565968270194,0.00661601738714879,0.0900357009497772,0.000762646901835999,0.273861605179488,3A,VN
Viet Nam,Viet Nam,1978,Earths,0.0148273328116067,0.063510045118741,0.102107937310334,0.00637459425789736,0.0895860236420694,0.000970972521496422,0.277376905662145,3A,VN
Viet Nam,Viet Nam,1979,Earths,0.0169915758256317,0.0683642612459195,0.116541906572014,0.00650331180398746,0.0913050179911618,0.00112181782676661,0.300827891265481,3A,VN
Viet Nam,Viet Nam,1980,Earths,0.0173026043766075,0.0714576803442185,0.108814922389733,0.00595626766666242,0.0920689721876186,0.000570585454100496,0.296171032418941,3A,VN
Viet Nam,Viet Nam,1981,Earths,0.0182449103847221,0.0720330219500962,0.1111764419151,0.00623660679977052,0.0917225292288712,0.000480221545837138,0.299893731824397,3A,VN
Viet Nam,Viet Nam,1982,Earths,0.0210040282795618,0.0756653142328261,0.118200283838868,0.00673907876805047,0.0927670739162056,0.000516358167428559,0.314892137202941,3A,VN
Viet Nam,Viet Nam,1983,Earths,0.020935832703304,0.0802868869749751,0.111819194162298,0.00803054072549643,0.0955535918780475,0.000480748956667759,0.317106795400789,3A,VN
Viet Nam,Viet Nam,1984,Earths,0.0229704868789473,0.0802305758038413,0.121178546205552,0.00762798572750588,0.0957276127512838,0.000576717369260434,0.32831192473639,3A,VN
Viet Nam,Viet Nam,1985,Earths,0.0247789722245757,0.080530359302549,0.122479354246196,0.00762258268018842,0.0969165450740663,0.000596732638703427,0.332924546166279,3A,VN
Viet Nam,Viet Nam,1986,Earths,0.0263730046373829,0.0874398028416779,0.127248595083437,0.00757665395518803,0.0990768794219097,0.00116840572576548,0.348883341665361,3A,VN
Viet Nam,Viet Nam,1987,Earths,0.0267064253659777,0.0955211277502629,0.125390308296085,0.00778945085814098,0.101168766307588,0.00114377311192633,0.357719851689981,3A,VN
Viet Nam,Viet Nam,1988,Earths,0.0279672038968601,0.0955752249094745,0.128284129266094,0.00765117443311726,0.100409720740365,0.000949610588662356,0.360837063834572,3A,VN
Viet Nam,Viet Nam,1989,Earths,0.0308221276915969,0.087358749597259,0.126042682998126,0.00850371601284981,0.0977771641326379,0.000799717552645708,0.351304157985115,3A,VN
