year,builtUpLand,carbon,cropland,fishingGrounds,forestProducts,grazingLand
1961,0.00950445331807075,0.00914143754812736,0.172404945718422,1.69430901845645E-05,0.0275397710968453,0.168982317488604
1962,0.00922594375380478,0.0115928878523788,0.16412168212148,1.67957074567513E-05,0.0277278446723907,0.164000390245928
1963,0.00881715597114512,0.0130262771316474,0.156945549733454,1.67306985946466E-05,0.0286889215300197,0.186899933257115
1964,0.00937664777764637,0.0155124766711452,0.166364223727809,1.65941866825462E-05,0.031521148437141,0.18620170133369
1965,0.00990038952099868,0.0175166056614322,0.173017338206968,1.64794471138838E-05,0.0329405373194064,0.195497802477845
1966,0.00911391124607287,0.0186526786595689,0.157188495157588,1.62753408284679E-05,0.0349179773298367,0.18954713535779
1967,0.0101050856387237,0.0202745582920074,0.174579819500314,2.15008356019323E-05,0.0356091068001304,0.188850468156612
1968,0.0103649066108873,0.020032652039862,0.172601063543976,2.13785633389064E-05,0.0371745433808832,0.19277837110321
1969,0.011236110486348,0.0182786083231689,0.184074784574507,2.11410354736371E-05,0.0391265447838931,0.185791181767919
1970,0.0100138165848502,0.0273823885080265,0.160688211378034,2.09735292702605E-05,0.0407501520696002,0.186534616072018
1971,0.00910934436534749,0.0312407108862243,0.157042660021911,0.000025796273987965,0.0415344435157451,0.18134065206101
1972,0.0111661357250918,0.0236752833554583,0.171818567839856,2.58392295224601E-05,0.0452294784639676,0.143090480627253
1973,0.0121183936233945,0.0240388627662455,0.174492085591155,2.52629331105856E-05,0.0455130017205074,0.145104522612526
1974,0.0127258072702183,0.0288666931883877,0.177856207995571,2.53607259353788E-05,0.0466154678840899,0.156394818109221
1975,0.0136912756917742,0.0303172858786632,0.188057020735785,3.02407092890161E-05,0.0455843460515531,0.165312642547147
1976,0.0136787834974733,0.0286384138619636,0.182180513614679,0.00002992729353304,0.0455999167369975,0.168312401604917
1977,0.0125805496465387,0.0357732651362897,0.166736273032724,3.00475322376709E-05,0.0459823636086979,0.175478554654768
1978,0.0129537649034956,0.0317395244249369,0.172162837073299,3.10894049530196E-05,0.0454995195156629,0.167489634857049
1979,0.0130952118052237,0.0342885292869663,0.179741964051937,3.03349181769081E-05,0.0463332458234174,0.165693431796315
1980,0.0126728095292695,0.0288803064999727,0.166330332972752,3.62286270468325E-05,0.0471167912077564,0.1761981991288
1981,0.0122926600097775,0.0324802351286164,0.173308818753359,3.71424854370279E-05,0.0482404452068119,0.171893024877412
1982,0.0118352353322661,0.0345253724507108,0.168536219191312,3.81904205968018E-05,0.0490999556894447,0.179099444249207
1983,0.0116520714512479,0.0432122849030521,0.168125849978587,4.60031643990763E-05,0.0512042456656669,0.173756893751973
1984,0.0112103086632598,0.048434686288244,0.165975394620092,4.94589378986507E-05,0.0519972474560864,0.157073638354788
1985,0.0111623640250396,0.059049967778536,0.16891337943415,5.08354547362184E-05,0.0504089927237513,0.129729447118406
1986,0.010607535778957,0.058301181724919,0.164738130936268,5.49656638277434E-05,0.0511709928021749,0.122729370751022
1987,0.0119326841325652,0.0621342103062344,0.19638273750969,7.05023668311418E-05,0.0527828461844078,0.136804980303185
1988,0.0106952346671919,0.0619638797548036,0.173710184680021,6.58328856953273E-05,0.054300244529301,0.13454877720457
1989,0.0102110454033429,0.0609268339249573,0.164402570079013,6.50844987730949E-05,0.0534303892295978,0.146595838940217
1990,0.00965694624807758,0.0567503848864991,0.151576207314863,6.79309559834618E-05,0.0522412430036738,0.12792661220553
1991,0.0104813988785724,0.0527433769432998,0.148455153060381,6.59644855980295E-05,0.0516904053439992,0.117784609049071
1992,0.00995071885707546,0.0321145776158136,0.131738659398769,6.98092996096481E-05,0.0504172353053685,0.128037091894782
1993,0.0116086212972686,0.032864673600983,0.14244640870457,6.32427531083123E-05,0.049321135794587,0.108747171594377
1994,0.0128134398021195,0.0298060710956821,0.141136396790717,6.45888392822931E-05,0.0484097864221629,0.101658747859179
1995,0.0131165233728881,0.0292348230376714,0.142461207203666,6.27429039600423E-05,0.0483969314080189,0.104307436292117
1996,0.0134509929044641,0.028397791664571,0.138306145393256,5.93232728417638E-05,0.0479496512712759,0.119885414934133
1997,0.0146923849195325,0.0268939358626894,0.146684237512589,5.61855273255551E-05,0.0481756391470531,0.129000820605597
1998,0.0157070450164067,0.0271676886918233,0.150361445622678,5.33216536272263E-05,0.0481451371149055,0.136514115941601
1999,0.0143525016923636,0.0252142232484024,0.13653104563449,5.29441291594138E-05,0.0484556507376272,0.162805886333008
2000,0.00976903221747026,0.0224657862788253,0.118860247040428,4.33807409877843E-05,0.0481546547888369,0.146451971105301
2001,0.0104024865722128,0.0237920104033288,0.130145316190451,3.44369298051811E-05,0.0468449749625145,0.114241049105701
2002,0.0161718565829731,0.024453479223138,0.163432014339682,4.22559572020146E-05,0.0467790854649425,0.132255094022197
2003,0.0190724143929571,0.0239378013627414,0.175873260189041,3.94067655508098E-05,0.0463753720120137,0.12615388131536
2004,0.0146949827249992,0.0217456063110616,0.134460486410653,5.61578741920955E-05,0.0453225837828685,0.122894417399598
2005,0.0225964663147158,0.0261135865468415,0.199563923609703,0.000116242351008095,0.0448576776905979,0.102119242802409
